organisation,article-4-direction,article-4-direction-area,conservation-area,conservation-area-document,listed-building-outline,tree-preservation-order,tree-preservation-zone,tree
Buckinghamshire Council,No endpoint,400,200,No endpoint,200,No endpoint,NaN,200
Dacorum Borough Council,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint
Doncaster Metropolitan Borough Council,No endpoint,200,200,No endpoint,200,No endpoint,200,200
Gloucester City Council,No endpoint,200,200,No endpoint,200,No endpoint,No endpoint,No endpoint
London Borough of Camden,200,200,200,No endpoint,200,No endpoint,No endpoint,No endpoint
London Borough of Lambeth,No endpoint,404,200,No endpoint,200,No endpoint,404,200
London Borough of Southwark,200,200,200,No endpoint,200,200,200,No endpoint
Medway Council,No endpoint,200,200,No endpoint,200,200,200,No endpoint
Newcastle City Council,200,200,200,No endpoint,200,200,200,200
Birmingham City Council,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint
Canterbury City Council,No endpoint,200,200,No endpoint,200,200,200,No endpoint
Epsom and Ewell Borough Council,No endpoint,No endpoint,NaN,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint
London Borough of Barnet,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint
Gateshead Metropolitan Borough Council,No endpoint,200,No endpoint,No endpoint,200,No endpoint,No endpoint,No endpoint
Great Yarmouth Borough Council,No endpoint,200,200,No endpoint,200,200,200,No endpoint
Royal Borough of Kingston upon Thames,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint
St Albans City and District Council,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint
Tewkesbury Borough Council,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint
West Berkshire Council,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint
Dorset Council,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint
Dover District Council,No endpoint,200,200,No endpoint,200,No endpoint,200,No endpoint
Liverpool City Council,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint
London Borough of Redbridge,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint
London Borough of Waltham Forest,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint
North Lincolnshire Council,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint
North Somerset  Council,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint
Salford City Council,No endpoint,No endpoint,200,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint
Wirral Borough Council,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint,No endpoint
