organisation,documentation_url,end_date,endpoint,endpoint_url,entry_date,parameters,plugin,start_date
local-authority-eng:DOV,,2019-10-20,1a9c58e854159f4d17a9225579d657571a5f06d9ba23aa3bc487ebc591ceacc2,https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register-csv.csv,2018-05-22T00:00:00Z,,,
local-authority-eng:DUD,https://www.dudley.gov.uk/residents/planning/brownfield-land-register/,2019-11-18,7c3325de5bcc2f6c8b46aa03be1ba0b23186d4d65e3bd46c667112691f049bba,http://www.dudley.gov.uk/EasysiteWeb/getresource.axd?AssetID=290865&type=full&servicetype=Attachment,2018-05-22T00:00:00Z,,,
local-authority-eng:EDN,https://www.eden.gov.uk/planning-and-building/planning-policy/brownfield-land-register/,2019-11-25,d1eb92649597a50f2cf43c528c17c14414b595590c4468acceae569a9db52a65,https://www.eden.gov.uk/media/4921/brownfield_land_register_july2018.xlsx,2018-05-22T00:00:00Z,,,
local-authority-eng:EDN,https://www.eden.gov.uk/planning-and-building/planning-policy/brownfield-land-register/,2019-11-25,31881b6f74d09d38d05526346c4448857b8609d433bd52e034d882bc6a0fbff5,https://www.eden.gov.uk/media/4516/brownfield_land_register_web.xlsx,2018-07-05T00:00:00Z,,,
local-authority-eng:EDN,https://www.eden.gov.uk/planning-and-building/planning-policy/brownfield-land-register/,2020-04-28,8a285f586db15391bb216bfb4719932fca27102ab9e7fa234b81b014c2df52ab,https://www.eden.gov.uk/media/5201/brownfield-land-register-2018.xlsx,2019-11-26T00:00:00Z,,,
local-authority-eng:EDO,https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/east-dorset-planning-policy/local-development-framework/christchurch-and-east-dorset-brownfield-land-registers.aspx,2019-03-31,90ceebf29a4b5bb583f20d55fc2b9dd28b34eb2c8deb456dfb5cf74434f16d5f,https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/east-dorset-planning-policy/local-development-framework/pdfs/brownfield-land-registers/east-dorset-brownfield-register-2017.12.19-rev1-excel.csv,2018-05-22T00:00:00Z,,,
local-authority-eng:ENF,,2019-10-20,3869f68ed9e84913c8a8e7372b119e341614bfd9c073ce9b5cedab7e3e54bc1d,https://new.enfield.gov.uk/services/planning/planning-policy/local-plan/planning-policy-information-enfield-blr-part-1.xlsx,2018-05-22T00:00:00Z,,,
local-authority-eng:FEN,https://www.fenland.gov.uk/brownfieldland,2019-12-21,e1a3f4e3adaa74fc0b91e8e210389b471f628c654916992cbdce1b39aa4f8934,https://www.fenland.gov.uk/media/14426/FDC-Brownfield-Land-Register-2017---CSV-format/csv/FenlandDistrictCouncil_brownfieldregister_2017-12-19_rev1.csv,2019-12-14T00:00:00Z,,,2017-12-19
local-authority-eng:FEN,,2019-12-14,d490ecaf1e06967badb8f9530b99dfb187bb2d801afa69d9df9b96ec36681aaa,http://www.fenland.gov.uk/CHttpHandler.ashx?id=14426&p=0,2018-05-22T00:00:00Z,,,
local-authority-eng:FOE,https://www.fdean.gov.uk/residents/planning-building/planning-policy/local-plan-new/,2020-05-07,ea9c1bba529e8ae6c060661fc82ec7a7cf4ac98c5c46c3e383fc9e77e60dd646,https://www.fdean.gov.uk/media/7277/brownfield-land.csv,2020-03-16T00:00:00Z,,,2020-03-16
local-authority-eng:FOE,,2020-05-07,f60671b34748ffb20e79509fc8e8d56e4e5643fb3a827ac44d327199cb80a035,http://www.fdean.gov.uk/media/5465/dclg-brownfield-land-register.csv,2018-05-22T00:00:00Z,,,
local-authority-eng:FOE,https://www.fdean.gov.uk/residents/planning-building/planning-policy/local-plan-new/,2020-05-07,5f600c521173794e63ed8a5725971eae6aec3790ea3ce25737d056650ea3b8ce,https://www.fdean.gov.uk/media/5640/dclg-brownfield-land-register.xlsm,2019-12-14T00:00:00Z,,,
local-authority-eng:GED,https://www.gedling.gov.uk/shlaa/,2020-01-06,69bb33e20f2b9a4f3b5eac2caf432769761ba8b468f2130b8f0b746a366289b5,https://www.gedling.gov.uk/media/gedlingboroughcouncil/documents/planningpolicy/brownfieldregister/gedling_brownfieldregister_2018-08-31_rev1.csv,2019-10-20T00:00:00Z,,,2018-08-31
local-authority-eng:GED,https://www.gedling.gov.uk/shlaa/,2018-08-31,297ded6fa94fe4932f6f14efdbb87dc1e458c61f1c9c471fe42e92dbc438e516,https://www.gedling.gov.uk/media/gedlingboroughcouncil/documents/planningpolicy/brownfieldregister/gedling_brownfieldregister_2017-08-31_rev1.csv,2018-05-22T00:00:00Z,,,2017-08-31
local-authority-eng:GLO,https://www.gloucester.gov.uk/planning-development/planning-policy/brownfield-land-register/,2019-10-25,4b91854cb5a6546ec865a00e646f14fcf979a383914e324dcdf40a5893a2fc77,http://www.gloucester.gov.uk/Documents/gloucester_brownfieldregister_2017-12-31_rev1.csv,2019-11-25T00:00:00Z,,,2017-12-31
local-authority-eng:GLO,,2019-11-25,2aac41f6ec077bba34d370ad012812f560b04723a8e2be530e421a6c830e4e58,http://www.gloucester.gov.uk/Documents/GloucesterBFLR.csv,2018-07-05T00:00:00Z,,,2017-12-21
local-authority-eng:GOS,https://www.gosport.gov.uk/sections/your-council/council-services/planning-section/planning/brownfield-register/,2020-02-17,cefcb91c4f1a7bc6cb24ca8b04a505ff8a4cde5f58b2a82f36ef02da6aa27f83,https://www.gosport.gov.uk/files/GBCBrownfieldLandRegister.csv,2019-12-20T00:00:00Z,,,2019-12-20
local-authority-eng:GOS,,2019-12-20,d46f17f0731ec70de00ade53bca1dfe7be33bcf8304b57bbd7b6897bfba850e6,http://www.gosport.gov.uk/files/GBCBrownfieldLandRegister.csv,2018-05-22T00:00:00Z,,,
local-authority-eng:GOS,https://www.gosport.gov.uk/sections/your-council/council-services/planning-section/planning/brownfield-register/,2020-02-11,26baa09a59697af0978875e10a188bf776b1ae83d456fa1b52de528911e951fc,https://www.gosport.gov.uk/EasySiteWeb/GatewayLink.aspx?alId=50106,2019-12-14T00:00:00Z,,,
local-authority-eng:GRE,https://www.royalgreenwich.gov.uk/info/200191/planning_policy_and_strategy/1955/brownfield_land_register,2020-01-01,41e36be4938cd04e20058823a88e612e6ed9414c12d8ddbe6c966d92057efc6e,https://www.royalgreenwich.gov.uk/downloads/file/3572/brownfield_land_register_csv,2019-12-14T00:00:00Z,,,
local-authority-eng:GRY,https://www.great-yarmouth.gov.uk/brownfield-land-register,2020-04-10,4fc4f068b25e39b5b116cf9493b59a0c1b2eb39b349d997668800399dc8611c4,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=4008&p=0,2019-12-14T00:00:00Z,,,2018-12-20
local-authority-eng:GRY,,2020-04-10,e0da5f68a02fc08a397eab9f5fd186005b76f0c363763d7c8a7bc71fe190613a,https://www.great-yarmouth.gov.uk/CHttpHandler.ashx?id=2608&p=0,2018-05-22T00:00:00Z,,,
local-authority-eng:HAE,https://www.hambleton.gov.uk/info/20172/planning_policy/745/brownfield_land_register,2020-02-01,67874cad51d0eed5172653012364a72337cd09f15ae712f00e92a41f66176197,https://opendata.arcgis.com/datasets/580f1ae73bcb4aaa9355b3faf458684e_0.csv,2019-12-14T00:00:00Z,,,
local-authority-eng:HAG,,2019-12-12,8f562bd4a6668db0fe56f5b37bb4026e4765e5d590222613a6fec8e711fca7a0,https://www.harrogate.gov.uk/download/downloads/id/3132/12-12-2017_harrogate_brownfield_register_rev_1.csv,2018-05-22T00:00:00Z,,,2017-12-12
local-authority-eng:HAO,,2019-10-20,f618e836695cc993d0b174923ff644051a6c691c35c238bcee61f84f18807032,http://www.harborough.gov.uk/download/downloads/id/3772/final_appendix_a_part_1_brownfield_land_register.xlsx,2019-10-20T00:00:00Z,,,
local-authority-eng:HAR,,2019-12-05,95b7b491b16d9a7994cc0ff44a6f448e8186846471ce56bc2c86a112779c42a9,http://www.harlow.gov.uk/sites/harlow-cms/files/files/documents/files/harlow_brownfieldregister_2017-12-31_rev1.csv,2018-05-22T00:00:00Z,,,2017-12-31
local-authority-eng:HAS,https://www.hastings.gov.uk/planning/policy/BrownfieldRegister/,2019-10-20,86d8a69e1fb3428e10f6eddfa983b5be1fa7f92e1de62f78d6541fcc29e471ba,http://www.hastings.gov.uk/content/planning/planning_policy/pdfs/hastings_brownfieldregister_2017-12-15_rev1.csv,2018-05-22T00:00:00Z,,,2017-12-15
local-authority-eng:HCK,,2019-11-24,3109a947e52e664a7394718532756e06dec1c1735b33fc35d4c8760de08f376e,https://www.hackney.gov.uk/media/10019/brownfield-land-register/spreadsheet/hackney-brownfield-register,2018-05-22T00:00:00Z,,,
local-authority-eng:HCK,https://hackney.gov.uk/brownfield-land-register,2020-01-06,d9c351d0c55cb447a3d41dcd91f5049d2fddd32d4afc1858b00b668ae4594baf,https://drive.google.com/file/d/1qpyaNoBf3VTCxE9a5IQ3DDapYXIsIbyj/view,2019-12-22T00:00:00Z,,,
local-authority-eng:HEF,,2019-12-14,2cb84726eaa8655c6f8a313640cc10f320f84ea8ada66876e2dbf6fb950089d1,https://www.herefordshire.gov.uk/download/downloads/id/13144/brownfield_sites_register_2018.csv,2018-05-22T00:00:00Z,,,
local-authority-eng:HIL,,2019-10-20,61aaea147c209b5bc996905d5147753519741f057291242ac061cc98fded7496,https://www.hillingdon.gov.uk/media/38639/CSV-file/xls/hillingdon_brownfieldregister_2017-12-31_rev1.csv,2018-05-22T00:00:00Z,,,2017-12-31
local-authority-eng:HIN,,2019-12-14,baef023ff2f35f332f53544d9a79c71a0326b001c729bc573f815fc37acfa7a6,https://www.hinckley-bosworth.gov.uk/download/downloads/id/5936/brownfield_register_2017.csv,2018-05-22T00:00:00Z,,,
local-authority-eng:HMF,,2019-02-10,f866670bcc236484f503fb1bd3f113033958c9e47ba046af1cbb21676c937673,http://files.datapress.com/london/dataset/brownfield-land-register/2017-12-21T14:21:59.58/London_Brownfield_Land_Register_20171221_.csv,2018-05-22T00:00:00Z,,,2017-12-21
local-authority-eng:HNS,http://data.hounslow.gov.uk/Download/planning/brownfield-land,2019-10-20,7697d3567171f24e9485fa12aa80a3d9750457e8757c3dd6d10effed94536ae8,http://data.hounslow.gov.uk/download/planning/brownfield-land/brownfield-register-2017-12-22/CSV?version=16/07/2018,2018-05-22T00:00:00Z,,,2018-07-16
local-authority-eng:HNS,https://www.hounslow.gov.uk/info/20034/planning_policy/1817/brownfield_land_register,2020-01-06,c04b2e2c87983db3653b9faf92b1b138474e29048b92dd8318a1458d3baa0377,https://data.hounslow.gov.uk/View/planning/brownfield-land,2019-12-24T00:00:00Z,,,
local-authority-eng:HOR,https://www.horsham.gov.uk/planningpolicy/planning-policy/housing-land-availability/brownfield-land-register,2019-10-20,8b36bcac081e6910e26430c49a1337c90fc7e3666e92ff6217675e73f677bce4,https://www.horsham.gov.uk/__data/assets/excel_doc/0006/49434/horsham_brownfieldregister_2017-12-31_rev1a.xlsx,2018-07-31T00:00:00Z,,,2017-12-31
local-authority-eng:HRW,,2019-10-20,587a2a11dbce71269f6c349b379495b485b1f14379e4d3d3417a955326b19451,http://www.harrow.gov.uk/download/downloads/id/10631/harrow_s_brownfield_land_register,2018-05-22T00:00:00Z,,,
local-authority-eng:HRY,https://www.haringey.gov.uk/planning-and-building-control/planning/planning-policy/localism/brownfield-register,2020-02-29,87d3ca938a3176707eea3e50855a32b3be613b84015e7f39f92f2284d7e1668d,https://www.haringey.gov.uk/sites/haringeygovuk/files/brownfield_register_2019.csv,2019-12-21T00:00:00Z,,,2019-12-21
local-authority-eng:HRY,,2019-12-14,27a9d8ef8f0ef8e8e8a26b0d285b1d44ec4c8c4c92e213be9a371845ecaf3f56,http://www.haringey.gov.uk/sites/haringeygovuk/files/haringey_brownfield_register_final_dec_2017.csv,2018-05-22T00:00:00Z,,,
local-authority-eng:HRY,https://www.haringey.gov.uk/planning-and-building-control/planning/planning-policy/localism/brownfield-register,2019-12-21,b5cee04ab4154f840eac7b12fc6949c1374548f64faeb175fc02fec9ab9f4405,https://www.haringey.gov.uk/sites/haringeygovuk/files/haringey_brownfield_register_final_dec_2017.csv,2019-12-14T00:00:00Z,,,
local-authority-eng:HYN,https://www.hyndburnbc.gov.uk/hyndburn-brownfield-register-2/,2020-09-23,95eab64c5f102381ca7c14e3a0be0df38f54655b13e1e46a8588b02766521773,https://www.hyndburnbc.gov.uk/download-package/brownfield-register/?wpdmdl=5825&ind=dYo36xPUfWz-TJF8vWLWbWUMqXXsh0SLv8fl-iBwPXejcMGfPOdcYmQNhJcKLMv9AA08OTd6X-PkNCqMgAsE4w,2019-12-19T00:00:00Z,,,2019-12-19
local-authority-eng:HYN,,2019-12-14,fd0fb1254255ef65d78af1c000fdea495c76005e405ac48503f1b45432c9ba0f,https://www.hyndburnbc.gov.uk/download-package/brownfield-register/?wpdmdl=5825&ind=wlBUCiGFckA9__HMiqcwu7uOPuvjKCHR_5f8ag9Dg11re9kkxWJJyoXPXJcusnHF_JNLCPsQE9MtOUQyKjL7qw,2018-05-22T00:00:00Z,,,
local-authority-eng:HYN,https://www.hyndburnbc.gov.uk/hyndburn-brownfield-register-2/,2020-09-23,03b5752813b86ef91819480eea702a652ef349adb0912df30542eb5b894e14f4,https://www.hyndburnbc.gov.uk/download-package/brownfield-register/?wpdmdl=5825&ind=Prkk2ws_DD_q0ukA1Dal-sw5Yx0GsOTba9GLOVfE16PqtB3Lu0Hx1LXFlGkQBGjwoRBHS7A3ynwJK0hQGReU5Q,2019-12-14T00:00:00Z,,,
local-authority-eng:ISL,https://www.islington.gov.uk/planning/brownfield-land-register,2019-10-20,aebe6a2bb62b414fce15b3b158795ec83a3f27c0db2fd84eab17d7c03c7d8a28,https://www.islington.gov.uk/~/media/sharepoint-lists/public-records/planningandbuildingcontrol/information/adviceandinformation/20172018/20171124islingtonbrownfieldregister20171124rev1.csv,2018-05-22T00:00:00Z,,,2017-11-24
local-authority-eng:KHL,https://hullcc-consult.objective.co.uk/portal/planning/shlaa/bfl17/blr17,2019-12-14,8f9778acfaacd44acb2e9c21f2ca9614bbf8239d3eae0e580d263cb14a59304a,http://hullcc-consult.limehouse.co.uk/file/4825189,2018-05-22T00:00:00Z,,,
local-authority-eng:KIR,https://www.kirklees.gov.uk/beta/planning-policy/brownfield-land-register.aspx,2020-01-16,fbc421a2e2a38ec3db2420cda8952fd28a5f1e1a8c595cfd9badee48011265c2,https://www.kirklees.gov.uk/brownfieldlandregister,2019-12-22T00:00:00Z,,,2019-12-22
local-authority-eng:KIR,,2019-10-20,e0cc574bd41411ecf7f4b6c7d326d849c5fff1b6bf08596f9360ce227a583cf1,http://www.kirklees.gov.uk/beta/planning-policy/pdf/brownfield-land-register-2017.csv,2018-05-22T00:00:00Z,,,
local-authority-eng:KWL,,2019-10-20,50eff31398a7d03cdbe10fad8d4bfd1ff446d30f3a6e4fe70a4375aeb5eb883d,http://www.knowsley.gov.uk/knowsleycouncil/media/Documents/Knowsley-MBC-Brownfield-register.xlsx,2018-05-22T00:00:00Z,,,
local-authority-eng:KWL,https://www.knowsley.gov.uk/residents/building-and-planning/local-plan/brownfield-register,2019-11-30,42204d046bd7ee68b0dc2e5a1045d830dc2f07eb346b80f14c116651636e283a,https://www.knowsley.gov.uk/knowsleycouncil/media/Documents/Knowsley-MBC-Brownfield-register.xlsx,2019-11-30T00:00:00Z,,,
local-authority-eng:LCE,https://www.leicester.gov.uk/your-council/policies-plans-and-strategies/planning-and-development/land-and-building-asset-registers/,2020-01-16,568d724760d2f6073011747205487432ce8b860dddadd276f02c4058f12c317f,https://data.leicester.gov.uk/explore/dataset/leicester_brownfieldregister_2017-12-31_rev1/download/?format=csv&timezone=Europe/London&use_labels_for_header=true&csv_separator=%3B,2019-12-14T00:00:00Z,,,2017-12-31
local-authority-eng:LEW,,2019-10-20,4c4ee2d4c716f50a31c7a0650b8e00ad70d96234c6a157c34e81c357df314a65,https://www.lewisham.gov.uk/myservices/planning/policy/Documents/BrownfieldLandRegister.csv,2018-05-22T00:00:00Z,,,2018-01-03
local-authority-eng:LIC,https://www.lincoln.gov.uk/living-in-lincoln/planning-and-building/brownfield-land-register/,2019-11-03,bbad1c464ef91df8021b49a92c8a0dc7b182f1f5c5c2a6aad20ff38de22e74bb,https://www.lincoln.gov.uk/_resources/assets/attachment/full/0/54502.csv,2018-05-22T00:00:00Z,,,
local-authority-eng:LIF,https://www.lichfielddc.gov.uk/evidence-base/brownfield-land-register/1,2019-10-20,045c64c77fe77a89d29ab26b93c831949e757554424b65e076fbd87f1e655887,https://www.lichfielddc.gov.uk/Inspire-data-sets/Lichfield%20District%20Council%20Brownfield%20Land%20Register/Brownfield%20Land%20Register%202017.csv,2018-05-22T00:00:00Z,,,2017-12-21
local-authority-eng:LIV,,2019-10-20,ddbcabac5b08008b12aa508c5bdaf5ff1c3912f90c52a7dacdbc9c28cb5628ac,https://liverpool.gov.uk/media/1356598/blr-lpool-part1-schedule-mandatorycols-12-12-17.csv,2018-05-22T00:00:00Z,,,
local-authority-eng:LND,https://www.cityoflondon.gov.uk/services/environment-and-planning/planning/development-and-population-information/Pages/development.aspx,2020-07-08,cfdb1c3ee9adfd9db72e708c5d81eb3312716b97d6b262aeefe8b7eda3788eb5,https://www.cityoflondon.gov.uk/services/environment-and-planning/planning/development-and-population-information/Documents/city-of-london-brownfield-register-march-2020.csv,2020-03-25T00:00:00Z,,,2020-03-25
local-authority-eng:LND,https://www.cityoflondon.gov.uk/services/environment-and-planning/planning/development-and-population-information/Pages/development.aspx,2020-07-08,1e24194b662874b45683dd6ccb514c42673a3b77f14dc772311ead7bff0711a4,https://www.cityoflondon.gov.uk/services/environment-and-planning/planning/development-and-population-information/Documents/city-of-london_brownfieldregister_2018-11-28_update.csv,2019-11-30T00:00:00Z,,,2018-11-28
local-authority-eng:LND,,2019-10-20,e234950d52e91d65ee92ae3b8b97c5729ec97683a3e9285a45eb0e076f33668c,http://www.cityoflondon.gov.uk/services/environment-and-planning/planning/development-and-population-information/Documents/city-of-london_brownfieldregister_2017-11-16_rev0.csv,2018-05-22T00:00:00Z,,,2017-11-16
local-authority-eng:LUT,https://www.luton.gov.uk/Environment/Planning/Regional%20and%20local%20planning/evidence-base/Pages/default.aspx,2019-12-20,4d58e8ec4f1d06a475cc9798245239470c1364abb1945a1da90083d673da6c62,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/Excel/HOU-014.csv,2018-05-22T00:00:00Z,,,2018-12-31
local-authority-eng:MAI,,2019-10-20,d5b5476c600cb106c1c3dd35f759b6b905ce1d3bbbc380a7ef54fb8eb3f61c72,http://www.maidstone.gov.uk/__data/assets/file/0009/163476/Brownfield-Land-Register-Part-1-2017.csv,2018-05-22T00:00:00Z,,,
local-authority-eng:MAN,https://secure.manchester.gov.uk/info/200074/planning/7293/brownfield_land_register,2020-03-20,dd3d40eec2969aeec60f84421c15c209665af8b62a91272a68fd53d7303e94c8,http://www.manchester.gov.uk/download/downloads/id/27392/2019_manchester_brownfield_register.csv,2020-03-09T00:00:00Z,,,2020-03-09
local-authority-eng:MAN,https://secure.manchester.gov.uk/info/200074/planning/7293/brownfield_land_register,2020-03-09,4a06bce8bfe7acd929b0bdd2ac601c2cbdd6919ea432e1e53b31885c3eaf7066,http://www.manchester.gov.uk/download/downloads/id/27296/2019_manchester_brownfield_land_register.xlsx,2020-02-28T00:00:00Z,,,2020-02-28
local-authority-eng:MAN,,2019-11-24,f218430a19d8518f1ffa8cbe7eeaab16d3cf846d50a66d188204ff0c5bda58b8,http://www.manchester.gov.uk/download/downloads/id/25609/2017_manchester_brownfield_register.csv,2018-05-22T00:00:00Z,,,
local-authority-eng:MAN,https://secure.manchester.gov.uk/info/200074/planning/7293/brownfield_land_register,2019-12-24,fbb4580a1a8fd699cf799d67ccfc6f7a963e815896e8488b098251151a8423d0,http://www.manchester.gov.uk/download/downloads/id/26553/2018_manchester_brownfield_land_register.csv,2019-11-24T00:00:00Z,,,
local-authority-eng:MAS,https://www.mansfield.gov.uk/brownfieldregister,2018-05-22,4a3653feb31a1dcb228a115dde5e72abb05f157120439b2f70fe58963eaaac20,http://www.mansfield.gov.uk/Brownfield_Register/Mansfield_brownfieldregister_2017-12-13_rev1.csv,2018-05-22T00:00:00Z,,,2017-12-13
local-authority-eng:MAV,https://www.malvernhills.gov.uk/planning/planning-policy/brownfield-land-register,2020-01-06,f7eb4732225c84eba8bb04092fb85c44fb4092ccd6d4adf4d0b1c3c846a78e1b,https://www.malvernhills.gov.uk/documents/283188/8873213/MalvernHillsBrownfieldLandRegister2017csv.csv/bfef9d76-453a-b239-de88-e24b02a172db,2019-12-11T00:00:00Z,,,2019-12-11
local-authority-eng:MAV,https://www.malvernhills.gov.uk/brownfield-land-register,2019-12-09,413cc9232f70a74c5aa410c80082c913b3184e14738e19490bd4d8c5164aeaee,https://www.malvernhills.gov.uk/documents/10558/9420541/Malvern+Hills+Brownfield+Land+Register+%28csv%29.csv/21407080-5145-d508-245e-115a0fe5b6cd,2019-11-24T00:00:00Z,,,2019-11-24
local-authority-eng:MAV,,2019-11-23,cd2ec6315afb318bd69a854ece5c827776d5c77f14acd7d50f4d4d1779eeb0c5,https://www.malvernhills.gov.uk/documents/283188/8873213/MalvernHillsBrownfieldLandRegister2017_csv.csv/cf458998-a008-58a4-4dfd-33e1f451e5f4,2018-07-05T00:00:00Z,,,
local-authority-eng:MDB,https://www.middlesbrough.gov.uk/planning-and-housing/planning/planning-policy/brownfield-land-register,2020-03-21,cf46ca1a4dd61f5ee33fe0e05a7f4cdaa8cb0c7b1e3144847aa11db1dcdf549e,https://middlesbrough.gov.uk/sites/default/files/Brownfield-sites-March-2019-update.csv,2019-12-14T00:00:00Z,,,
local-authority-eng:MEL,,2019-10-20,06bb90a22d3bcd347ef6231e3c4e49cbd686f057ea4f6427a0c107e4c8bfa3d5,https://anyfile.255bits.com/wix/download?id=2035f46e190b9f1b4fa9180991d28a90,2019-10-20T00:00:00Z,,,
local-authority-eng:MEN,,2019-11-19,003e505de03c812b8eca3f1828961770d33c530f5f1bb401f8cfce97bc7108f8,http://www.mendip.gov.uk/CHttpHandler.ashx?id=17256&p=0,2018-05-22T00:00:00Z,,,
local-authority-eng:MOL,,2020-04-29,40be6c0f029b6ee0d828b8e42a2c02ce8570c4b986f05ceaeb382ca016693849,https://www.molevalley.gov.uk/media.cfm?mediaid=37431,2018-05-22T00:00:00Z,,,
local-authority-eng:MOL,https://www.molevalley.gov.uk/index.cfm?articleid=35504,2020-04-29,5c26f46baecfd66f640724006a2ded9fe3af684daf07a5cb1f601a5d7542c6d4,https://www.molevalley.gov.uk/media.cfm?mediaid=49407,2019-12-14T00:00:00Z,,,
local-authority-eng:MRT,https://www2.merton.gov.uk/environment/planning/brownfield-land-register.htm,2020-03-26,4cdf6c2b4debfee964fab04c2607c7c70b7200ca3c8d597f03db2ec93d653e71,https://www2.merton.gov.uk/Merton%20Brownfield%20Register%202017%20Web%20Ready%20CSV%20Version.csv,2018-05-22T00:00:00Z,,,
local-authority-eng:NBL,,2020-03-11,0231c5a97fa63be2944720d73ad7bf31e159cf04045b275bd83635bcd06cd995,http://opendata.northumberland.gov.uk/static/datasets/brownfield-register/brownfield-register.csv,2018-05-22T00:00:00Z,,,
local-authority-eng:NDE,,2019-10-20,e8a09091da6ec2d3added43809b196176b082f34bf5fd94a517653b41d97fd98,http://www.northdevon.gov.uk/media/378118/brownfield-land-register-december-2017.csv,2018-05-22T00:00:00Z,,,
local-authority-eng:NDE,https://www.northdevon.gov.uk/planning-and-building-control/the-brownfield-land-register/,2019-12-10,890e184530f5e904fafb73802ff125fc03f099d03123521a8e63afa2f32406c2,https://www.northdevon.gov.uk/media/379152/brownfield-land-register-december-2018.xlsx,2019-11-30T00:00:00Z,,,
local-authority-eng:NDO,https://www.dorsetforyou.gov.uk/planning/north-dorset/planning-policy,2019-03-31,8f93bbdbbe015247e2087c6745b9d32f32eb771f342fffb876fef3e0cf442e87,https://www.dorsetforyou.gov.uk/planning-buildings-land/planning-policy/north-dorset-planning-policy/pdfs/north-dorset-brownfield-register-2017-12-20.csv,2018-07-05T00:00:00Z,,,2017-12-20
local-authority-eng:NED,https://www.ne-derbyshire.gov.uk/planning-and-local-plan/planning-policy-and-local-plan/monitoring/brownfield-land-register,2020-02-20,a26001953045fa4adbe8fba0255cae4798be23490e50e506a1fed9e15cec800b,https://www.ne-derbyshire.gov.uk/component/edocman/brownfield-land-register-csv,2020-02-20T00:00:00Z,,,2020-02-20
