organisation,documentation_url,end_date,endpoint,endpoint_url,entry_date,parameters,plugin,start_date
local-authority-eng:BDF,https://www.bedford.gov.uk/planning-and-building/planning-policy-its-purpose/brownfield-land-register/,2019-11-01,24c96d2f4f5dd16c24a94b871f6660752c8be5d26b88a615d88b78aa93c1c840,https://www.bedford.gov.uk/environment_and_planning/planning_town_and_country/planning_policy__its_purpose/idoc.ashx?docid=a72bd551-72ae-4c1f-ab27-eee73f3c52ae&version=-1,2018-05-22T00:00:00Z,,,
local-authority-eng:CAB,https://www.cambridge.gov.uk/brownfield-land-register,2019-11-24,2ef4e42d7e4d6124010ed891ecf89cc131f7f9098abbf63f332808ee71549b9b,https://www.cambridge.gov.uk/sites/default/files/brownfield-land-register.csv,2018-05-22T00:00:00Z,,,
local-authority-eng:CHN,,2019-11-29,1f4daca5b252bd8ed2437f533c30c57937d63b45b92051027a329495985b07de,http://www.chiltern.gov.uk/media/11738/Chiltern-Brownfield-Register-Part-1/CSV/Chiltern_Brownfield_Register_-_Part_1.csv,2018-05-22T00:00:00Z,,,
local-authority-eng:CHO,,2020-01-30,f3b25a2c0d403adb6d72d4cee56c1a977e18aaff86d7d863005ed4b3409d2116,http://chorley.gov.uk/Documents/Planning/Planning%20Policy/chorley_brownfieldregister_2017-10-12_rev1.csv,2018-05-22T00:00:00Z,,,2017-10-12
local-authority-eng:CHW,https://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr,2020-03-14,197d1b990b5cc6ebfb194ff9d039de5a2b85af6b732e26baa1de03eb8c802f57,https://consult.cheshirewestandchester.gov.uk/file/5387565,2019-12-08T00:00:00Z,,,
local-authority-eng:CLD,https://dataworks.calderdale.gov.uk/dataset/brownfield-land-register,2019-02-19,9ccdb35438fb3f66c223a6872dcf268afe30503fb9940893e16298274caaff18,https://files.datapress.com/calderdale/dataset/brownfield-land-register/2017-12-21T10:30:42.92/brownfield-register.csv,2018-05-22T00:00:00Z,,,2017-12-21
local-authority-eng:COT,,2020-01-30,84ceb3869c2bc2ba67419d14c9a1dc5b83ce13bffaf27aa39fa519693a6eb723,http://www.cotswold.gov.uk/media/1565830/Brownfield-Land-Register.csv,2018-05-22T00:00:00Z,,,
local-authority-eng:CRA,https://www.cravendc.gov.uk/planning/brownfield-land-register/,2019-10-20,cd11a0daec5ec86adae6f34ee831af06d1a32235466fa32aa6a6949cab17ed88,https://www.cravendc.gov.uk/media/5414/brownfield-land-register-020218.xlsx,2018-05-22T00:00:00Z,,,
local-authority-eng:DAR,https://www.dartford.gov.uk/by-category/environment-and-planning2/new-planning-homepage/planning-policy/brownfield-land-register,2020-01-06,37d3e154b2cf573e8e231e600b13aca8cbb756931349a9d587929cdcca001508,https://www.dartford.gov.uk/__data/assets/file/0004/886720/Brownfield-Land-Register2019-2312.csv,2019-12-30T00:00:00Z,,,2019-12-30
local-authority-eng:DAR,,2019-11-03,fa146acd922fcd5554942587469a198bac9a48ea451bf558202c3f7ad32bba37,https://www.dartford.gov.uk/__data/assets/file/0009/442278/Dartford_brownfieldregister_2017-12-19_rev1.csv,2018-05-22T00:00:00Z,,,2017-12-19
