dataset,authoritative,some,total
agricultural-land-classification,1,0,1
air-quality-management-area,1,0,1
ancient-woodland,1,0,1
ancient-woodland-status,1,0,1
archaeological-priority-area,1,0,1
area-of-outstanding-natural-beauty,0,1,1
article-4-direction,93,0,93
article-4-direction-area,101,0,101
article-4-direction-rule,0,1,1
asset-of-community-value,1,0,1
battlefield,2,0,2
border,1,0,1
brownfield-land,307,0,307
brownfield-site,3,0,3
building-preservation-notice,1,0,1
built-up-area,1,0,1
certificate-of-immunity,1,0,1
conservation-area,130,2,132
conservation-area-document,74,1,75
conservation-area-document-type,0,1,1
contribution-funding-status,0,1,1
contribution-purpose,0,1,1
design-code,9,0,9
design-code-area,6,0,6
design-code-area-type,1,0,1
design-code-characteristic,1,0,1
design-code-rule-category,0,1,1
design-code-status,0,1,1
developer-agreement,60,0,60
developer-agreement-contribution,63,0,63
developer-agreement-transaction,58,0,58
developer-agreement-type,0,1,1
development-corporation,0,1,1
development-corporation-boundary,1,1,2
development-plan-document,1,0,1
development-plan-document-type,1,0,1
educational-establishment,1,0,1
flood-risk-level,1,0,1
flood-risk-type,1,0,1
flood-risk-zone,1,0,1
flood-storage-area,1,0,1
government-organisation,1,0,1
green-belt,1,0,1
green-belt-core,1,0,1
heritage-at-risk,1,0,1
heritage-coast,1,0,1
infrastructure-funding-statement,6,1,7
infrastructure-project,1,0,1
infrastructure-project-decision,1,0,1
infrastructure-project-document-type,1,0,1
infrastructure-project-event,1,0,1
infrastructure-project-type,1,0,1
listed-building,1,0,1
listed-building-grade,0,1,1
listed-building-outline,89,0,89
local-authority-district,0,2,2
local-authority-type,0,1,1
local-nature-reserve,1,0,1
local-plan,31,1,32
local-plan-boundary,1,0,1
local-plan-housing,0,1,1
local-planning-authority,0,2,2
local-resilience-forum,0,1,1
local-resilience-forum-boundary,0,1,1
locally-listed-building,1,0,1
minerals-plan,3,1,4
minerals-plan-boundary,1,0,1
national-nature-reserve,1,0,1
national-park,0,1,1
nature-improvement-area,1,0,1
nutrient-neutrality-catchment,1,0,1
ownership-status,1,0,1
parish,1,0,1
park-and-garden,1,0,1
park-and-garden-grade,1,0,1
permitted-development-right,1,0,1
permitted-development-right-part,1,0,1
plan-event,1,0,1
plan-timetable,39,0,39
planning-application-condition,1,0,1
planning-condition,1,0,1
planning-permission-status,0,1,1
protected-wreck-site,1,0,1
ramsar,1,0,1
region,1,0,1
scheduled-monument,1,0,1
site-category,0,1,1
site-of-special-scientific-interest,1,0,1
special-area-of-conservation,1,0,1
special-protection-area,1,0,1
supplementary-plan,1,0,1
tree,70,0,70
tree-preservation-order,68,0,68
tree-preservation-zone,74,0,74
tree-preservation-zone-type,1,0,1
ward,1,0,1
waste-plan,3,1,4
waste-plan-boundary,1,0,1
world-heritage-site,2,0,2
world-heritage-site-buffer-zone,1,0,1
