dataset,organisation,organisation_name,quality,total_entity_count
conservation-area-document,local-authority:COT,Cotswold District Council,authoritative,214
conservation-area-document,local-authority:COV,Coventry City Council,authoritative,13
conservation-area-document,local-authority:CRW,Crawley Borough Council,authoritative,22
conservation-area-document,local-authority:DAR,Dartford Borough Council,authoritative,6
conservation-area-document,local-authority:ECA,East Cambridgeshire District Council,authoritative,45
conservation-area-document,local-authority:EHA,East Hampshire District Council,authoritative,56
conservation-area-document,local-authority:ERY,East Riding of Yorkshire Council,authoritative,123
conservation-area-document,local-authority:EXE,Exeter City Council,authoritative,20
conservation-area-document,local-authority:FEN,Fenland District Council,authoritative,8
conservation-area-document,local-authority:FOE,Forest of Dean District Council,authoritative,43
conservation-area-document,local-authority:HAA,Havant Borough Council,authoritative,15
conservation-area-document,local-authority:HAL,Halton Borough Council,authoritative,5
conservation-area-document,local-authority:HAR,Harlow District Council,authoritative,10
conservation-area-document,local-authority:HAT,Hart District Council,authoritative,78
conservation-area-document,local-authority:HIL,London Borough of Hillingdon,authoritative,33
conservation-area-document,local-authority:HRY,London Borough of Haringey,authoritative,28
conservation-area-document,local-authority:IOS,Council of the Isles of Scilly,authoritative,1
conservation-area-document,local-authority:IPS,Ipswich Borough Council,authoritative,30
conservation-area-document,local-authority:KHL,Hull City Council,authoritative,26
conservation-area-document,local-authority:LCE,Leicester City Council,authoritative,33
conservation-area-document,local-authority:LEW,London Borough of Lewisham,authoritative,29
conservation-area-document,local-authority:MAI,Maidstone Borough Council,authoritative,53
conservation-area-document,local-authority:NBL,Northumberland County Council,authoritative,250
conservation-area-document,local-authority:NEW,New Forest District Council,authoritative,157
conservation-area-document,local-authority:NLN,North Lincolnshire Council,authoritative,17
conservation-area-document,local-authority:NNO,North Norfolk District Council,authoritative,161
conservation-area-document,local-authority:NTY,North Tyneside Council,authoritative,25
conservation-area-document,local-authority:NWA,North Warwickshire Borough Council,authoritative,22
conservation-area-document,local-authority:OXO,Oxford City Council,authoritative,18
conservation-area-document,local-authority:PLY,Plymouth City Council,authoritative,15
conservation-area-document,local-authority:PTE,Peterborough City Council,authoritative,56
conservation-area-document,local-authority:RCH,Rochdale Metropolitan Borough Council,authoritative,29
conservation-area-document,local-authority:ROH,Rother District Council,authoritative,16
conservation-area-document,local-authority:ROS,Rossendale Borough Council,authoritative,34
conservation-area-document,local-authority:SAL,St Albans City and District Council,authoritative,45
conservation-area-document,local-authority:SAW,Sandwell Metropolitan Borough Council,authoritative,21
conservation-area-document,local-authority:SCA,South Cambridgeshire District Council,authoritative,84
conservation-area-document,local-authority:SFT,Sefton Metropolitan Borough Council,authoritative,74
conservation-area-document,local-authority:SGC,South Gloucestershire Council,authoritative,30
conservation-area-document,local-authority:SKP,Stockport Metropolitan Borough Council,authoritative,74
conservation-area-document,local-authority:SLF,Salford City Council,authoritative,23
conservation-area-document,local-authority:SNO,South Norfolk District Council,authoritative,84
conservation-area-document,local-authority:SPE,Spelthorne Borough Council,authoritative,9
conservation-area-document,local-authority:SST,South Staffordshire Council,authoritative,19
conservation-area-document,local-authority:STA,Stafford Borough Council,authoritative,29
conservation-area-document,local-authority:STE,Stoke-on-Trent City Council,authoritative,22
conservation-area-document,local-authority:SUR,Surrey Heath Borough Council,authoritative,11
conservation-area-document,local-authority:SWL,Swale Borough Council,authoritative,52
conservation-area-document,local-authority:TAN,Tandridge District Council,authoritative,19
conservation-area-document,local-authority:TEN,Tendring District Council,authoritative,20
conservation-area-document,local-authority:TOB,Torbay Council,authoritative,51
conservation-area-document,local-authority:TWH,London Borough of Tower Hamlets,authoritative,58
conservation-area-document,local-authority:UTT,Uttlesford District Council,authoritative,62
conservation-area-document,local-authority:WAE,Waverley Borough Council,authoritative,42
conservation-area-document,local-authority:WFT,London Borough of Waltham Forest,authoritative,15
conservation-area-document,local-authority:WIL,Wiltshire Council,authoritative,244
conservation-area-document,local-authority:WOT,Worthing Borough Council,authoritative,27
conservation-area-document,local-authority:WOX,West Oxfordshire District Council,authoritative,94
conservation-area-document,local-authority:WRL,Wirral Borough Council,authoritative,150
conservation-area-document,local-authority:WSM,City of Westminster,authoritative,56
conservation-area-document,national-park-authority:Q27159704,Lake District National Park Authority,authoritative,23
conservation-area-document,national-park-authority:Q72617158,New Forest National Park Authority,authoritative,133
conservation-area-document-type,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",some,6
contribution-funding-status,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",some,6
contribution-purpose,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",some,22
design-code,local-authority:BUC,Buckinghamshire Council,authoritative,1
design-code,local-authority:DAC,Dacorum Borough Council,authoritative,2
design-code,local-authority:GRT,Guildford Borough Council,authoritative,1
design-code,local-authority:HEF,Herefordshire Council,authoritative,1
design-code,local-authority:HYN,Hyndburn Borough Council,authoritative,1
design-code,local-authority:NUN,Nuneaton and Bedworth Borough Council,authoritative,1
design-code,local-authority:NWL,North West Leicestershire District Council,authoritative,1
design-code,local-authority:POR,Portsmouth City Council,authoritative,2
design-code,local-authority:SWK,London Borough of Southwark,authoritative,1
design-code-area,local-authority:BUC,Buckinghamshire Council,authoritative,1
design-code-area,local-authority:GRT,Guildford Borough Council,authoritative,1
design-code-area,local-authority:HYN,Hyndburn Borough Council,authoritative,1
design-code-area,local-authority:NUN,Nuneaton and Bedworth Borough Council,authoritative,2
design-code-area,local-authority:NWL,North West Leicestershire District Council,authoritative,1
design-code-area,local-authority:POR,Portsmouth City Council,authoritative,5
design-code-area-type,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",authoritative,10
design-code-characteristic,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",authoritative,11
design-code-rule-category,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",some,78
design-code-status,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",some,5
developer-agreement,local-authority:ADU,Adur District Council,authoritative,8
developer-agreement,local-authority:AMB,Amber Valley Borough Council,authoritative,14
developer-agreement,local-authority:ARU,Arun District Council,authoritative,1559
developer-agreement,local-authority:ASF,Ashford Borough Council,authoritative,22
developer-agreement,local-authority:ASH,Ashfield District Council,authoritative,60
developer-agreement,local-authority:BAE,Bassetlaw District Council,authoritative,621
developer-agreement,local-authority:BLA,Blaby District Council,authoritative,18
developer-agreement,local-authority:BNH,Brighton and Hove City Council,authoritative,86
developer-agreement,local-authority:BOL,Bolton Metropolitan Borough Council,authoritative,139
developer-agreement,local-authority:BOT,Boston Borough Council,authoritative,11
developer-agreement,local-authority:BRA,Braintree District Council,authoritative,47
developer-agreement,local-authority:BRE,Breckland District Council,authoritative,367
developer-agreement,local-authority:BRX,Broxbourne Borough Council,authoritative,290
developer-agreement,local-authority:CHA,Charnwood Borough Council,authoritative,68
developer-agreement,local-authority:CHR,Cherwell District Council,authoritative,12
developer-agreement,local-authority:CHT,Cheltenham Borough Council,authoritative,283
developer-agreement,local-authority:CMA,Cumbria County Council,authoritative,15
developer-agreement,local-authority:COL,Colchester City Council,authoritative,24
developer-agreement,local-authority:COV,Coventry City Council,authoritative,203
developer-agreement,local-authority:DOV,Dover District Council,authoritative,99
developer-agreement,local-authority:ECA,East Cambridgeshire District Council,authoritative,198
developer-agreement,local-authority:EHA,East Hampshire District Council,authoritative,1756
developer-agreement,local-authority:EHE,East Hertfordshire District Council,authoritative,15
developer-agreement,local-authority:EPS,Epsom and Ewell Borough Council,authoritative,29
developer-agreement,local-authority:ERE,Erewash Borough Council,authoritative,21
developer-agreement,local-authority:ERY,East Riding of Yorkshire Council,authoritative,182
developer-agreement,local-authority:EST,East Staffordshire Borough Council,authoritative,7
developer-agreement,local-authority:EXE,Exeter City Council,authoritative,30
developer-agreement,local-authority:GAT,Gateshead Metropolitan Borough Council,authoritative,15
developer-agreement,local-authority:GLO,Gloucester City Council,authoritative,139
developer-agreement,local-authority:GOS,Gosport Borough Council,authoritative,38
developer-agreement,local-authority:GRE,Royal Borough of Greenwich,authoritative,370
developer-agreement,local-authority:HAA,Havant Borough Council,authoritative,601
developer-agreement,local-authority:HAL,Halton Borough Council,authoritative,124
developer-agreement,local-authority:HAO,Harborough District Council,authoritative,36
developer-agreement,local-authority:HAT,Hart District Council,authoritative,6
developer-agreement,local-authority:HRT,Hertfordshire County Council,authoritative,42
developer-agreement,local-authority:IOW,Isle of Wight Council,authoritative,252
developer-agreement,local-authority:ISL,London Borough of Islington,authoritative,87
developer-agreement,local-authority:NEA,Newark and Sherwood District Council,authoritative,58
developer-agreement,local-authority:NFK,Norfolk County Council,authoritative,90
developer-agreement,local-authority:NHE,North Hertfordshire District Council,authoritative,8
developer-agreement,local-authority:NLN,North Lincolnshire Council,authoritative,174
developer-agreement,local-authority:NTY,North Tyneside Council,authoritative,123
developer-agreement,local-authority:SHA,South Hams District Council,authoritative,61
developer-agreement,local-authority:SLF,Salford City Council,authoritative,75
developer-agreement,local-authority:SND,Sunderland City Council,authoritative,234
developer-agreement,local-authority:STO,Stroud District Council,authoritative,1423
developer-agreement,local-authority:TEW,Tewkesbury Borough Council,authoritative,77
developer-agreement,local-authority:TOB,Torbay Council,authoritative,1589
developer-agreement,local-authority:TON,Tonbridge and Malling Borough Council,authoritative,173
developer-agreement,local-authority:TUN,Tunbridge Wells Borough Council,authoritative,37
developer-agreement,local-authority:WDE,West Devon Borough Council,authoritative,32
developer-agreement,local-authority:WIL,Wiltshire Council,authoritative,254
developer-agreement,local-authority:WOT,Worthing Borough Council,authoritative,52
developer-agreement,national-park-authority:Q20198711,South Downs National Park Authority,authoritative,80
developer-agreement,national-park-authority:Q27178932,Yorkshire Dales National Park Authority,authoritative,14
developer-agreement,national-park-authority:Q4972284,Broads Authority,authoritative,1
developer-agreement,national-park-authority:Q72617158,New Forest National Park Authority,authoritative,133
developer-agreement,national-park-authority:Q72617669,North York Moors National Park Authority,authoritative,14
developer-agreement-contribution,local-authority:ADU,Adur District Council,authoritative,22
developer-agreement-contribution,local-authority:AMB,Amber Valley Borough Council,authoritative,63
developer-agreement-contribution,local-authority:ARU,Arun District Council,authoritative,2491
developer-agreement-contribution,local-authority:ASF,Ashford Borough Council,authoritative,224
developer-agreement-contribution,local-authority:ASH,Ashfield District Council,authoritative,298
developer-agreement-contribution,local-authority:BAE,Bassetlaw District Council,authoritative,620
developer-agreement-contribution,local-authority:BLA,Blaby District Council,authoritative,163
developer-agreement-contribution,local-authority:BNH,Brighton and Hove City Council,authoritative,139
developer-agreement-contribution,local-authority:BOL,Bolton Metropolitan Borough Council,authoritative,162
developer-agreement-contribution,local-authority:BOT,Boston Borough Council,authoritative,10
developer-agreement-contribution,local-authority:BRA,Braintree District Council,authoritative,69
developer-agreement-contribution,local-authority:BRE,Breckland District Council,authoritative,762
developer-agreement-contribution,local-authority:BRX,Broxbourne Borough Council,authoritative,58
developer-agreement-contribution,local-authority:CHA,Charnwood Borough Council,authoritative,144
developer-agreement-contribution,local-authority:CHR,Cherwell District Council,authoritative,118
developer-agreement-contribution,local-authority:CHT,Cheltenham Borough Council,authoritative,825
developer-agreement-contribution,local-authority:CMA,Cumbria County Council,authoritative,32
developer-agreement-contribution,local-authority:COL,Colchester City Council,authoritative,17
developer-agreement-contribution,local-authority:COV,Coventry City Council,authoritative,61
developer-agreement-contribution,local-authority:DOV,Dover District Council,authoritative,597
developer-agreement-contribution,local-authority:ECA,East Cambridgeshire District Council,authoritative,565
developer-agreement-contribution,local-authority:EHA,East Hampshire District Council,authoritative,7666
developer-agreement-contribution,local-authority:EHE,East Hertfordshire District Council,authoritative,57
developer-agreement-contribution,local-authority:EPS,Epsom and Ewell Borough Council,authoritative,131
developer-agreement-contribution,local-authority:ERE,Erewash Borough Council,authoritative,102
developer-agreement-contribution,local-authority:ERY,East Riding of Yorkshire Council,authoritative,519
developer-agreement-contribution,local-authority:EST,East Staffordshire Borough Council,authoritative,6
developer-agreement-contribution,local-authority:EXE,Exeter City Council,authoritative,117
developer-agreement-contribution,local-authority:GAT,Gateshead Metropolitan Borough Council,authoritative,40
developer-agreement-contribution,local-authority:GLO,Gloucester City Council,authoritative,262
developer-agreement-contribution,local-authority:GOS,Gosport Borough Council,authoritative,103
developer-agreement-contribution,local-authority:GRE,Royal Borough of Greenwich,authoritative,1398
developer-agreement-contribution,local-authority:HAA,Havant Borough Council,authoritative,2359
developer-agreement-contribution,local-authority:HAL,Halton Borough Council,authoritative,194
developer-agreement-contribution,local-authority:HAO,Harborough District Council,authoritative,51
developer-agreement-contribution,local-authority:HAT,Hart District Council,authoritative,17
developer-agreement-contribution,local-authority:HRT,Hertfordshire County Council,authoritative,42
developer-agreement-contribution,local-authority:IOW,Isle of Wight Council,authoritative,404
developer-agreement-contribution,local-authority:ISL,London Borough of Islington,authoritative,312
developer-agreement-contribution,local-authority:NEA,Newark and Sherwood District Council,authoritative,65
developer-agreement-contribution,local-authority:NEW,New Forest District Council,authoritative,205
developer-agreement-contribution,local-authority:NFK,Norfolk County Council,authoritative,80
developer-agreement-contribution,local-authority:NHE,North Hertfordshire District Council,authoritative,31
developer-agreement-contribution,local-authority:NLN,North Lincolnshire Council,authoritative,534
developer-agreement-contribution,local-authority:NTY,North Tyneside Council,authoritative,465
developer-agreement-contribution,local-authority:SGC,South Gloucestershire Council,authoritative,2112
developer-agreement-contribution,local-authority:SHA,South Hams District Council,authoritative,136
developer-agreement-contribution,local-authority:SLF,Salford City Council,authoritative,198
developer-agreement-contribution,local-authority:SND,Sunderland City Council,authoritative,1178
developer-agreement-contribution,local-authority:STO,Stroud District Council,authoritative,3373
developer-agreement-contribution,local-authority:TEW,Tewkesbury Borough Council,authoritative,135
developer-agreement-contribution,local-authority:TOB,Torbay Council,authoritative,7317
developer-agreement-contribution,local-authority:TON,Tonbridge and Malling Borough Council,authoritative,1270
developer-agreement-contribution,local-authority:TUN,Tunbridge Wells Borough Council,authoritative,163
developer-agreement-contribution,local-authority:WDE,West Devon Borough Council,authoritative,59
developer-agreement-contribution,local-authority:WIL,Wiltshire Council,authoritative,130
developer-agreement-contribution,local-authority:WOC,Worcester City Council,authoritative,22
developer-agreement-contribution,local-authority:WOT,Worthing Borough Council,authoritative,64
developer-agreement-contribution,national-park-authority:Q20198711,South Downs National Park Authority,authoritative,200
developer-agreement-contribution,national-park-authority:Q27178932,Yorkshire Dales National Park Authority,authoritative,15
developer-agreement-contribution,national-park-authority:Q4972284,Broads Authority,authoritative,1
developer-agreement-contribution,national-park-authority:Q72617158,New Forest National Park Authority,authoritative,123
developer-agreement-contribution,national-park-authority:Q72617669,North York Moors National Park Authority,authoritative,27
developer-agreement-transaction,local-authority:ADU,Adur District Council,authoritative,9
developer-agreement-transaction,local-authority:AMB,Amber Valley Borough Council,authoritative,63
developer-agreement-transaction,local-authority:ARU,Arun District Council,authoritative,1372
developer-agreement-transaction,local-authority:ASF,Ashford Borough Council,authoritative,1087
developer-agreement-transaction,local-authority:ASH,Ashfield District Council,authoritative,298
developer-agreement-transaction,local-authority:BAE,Bassetlaw District Council,authoritative,519
developer-agreement-transaction,local-authority:BLA,Blaby District Council,authoritative,339
developer-agreement-transaction,local-authority:BNH,Brighton and Hove City Council,authoritative,101
developer-agreement-transaction,local-authority:BOL,Bolton Metropolitan Borough Council,authoritative,317
developer-agreement-transaction,local-authority:BOT,Boston Borough Council,authoritative,11
developer-agreement-transaction,local-authority:BRE,Breckland District Council,authoritative,500
developer-agreement-transaction,local-authority:BRX,Broxbourne Borough Council,authoritative,82
developer-agreement-transaction,local-authority:CHA,Charnwood Borough Council,authoritative,44
developer-agreement-transaction,local-authority:CHR,Cherwell District Council,authoritative,201
developer-agreement-transaction,local-authority:CHT,Cheltenham Borough Council,authoritative,444
developer-agreement-transaction,local-authority:CMA,Cumbria County Council,authoritative,135
developer-agreement-transaction,local-authority:COV,Coventry City Council,authoritative,132
developer-agreement-transaction,local-authority:DOV,Dover District Council,authoritative,433
developer-agreement-transaction,local-authority:ECA,East Cambridgeshire District Council,authoritative,361
developer-agreement-transaction,local-authority:EHA,East Hampshire District Council,authoritative,9763
developer-agreement-transaction,local-authority:EHE,East Hertfordshire District Council,authoritative,62
developer-agreement-transaction,local-authority:EPS,Epsom and Ewell Borough Council,authoritative,187
developer-agreement-transaction,local-authority:ERE,Erewash Borough Council,authoritative,89
developer-agreement-transaction,local-authority:EST,East Staffordshire Borough Council,authoritative,63
developer-agreement-transaction,local-authority:EXE,Exeter City Council,authoritative,35
developer-agreement-transaction,local-authority:GAT,Gateshead Metropolitan Borough Council,authoritative,50
developer-agreement-transaction,local-authority:GLO,Gloucester City Council,authoritative,473
developer-agreement-transaction,local-authority:GOS,Gosport Borough Council,authoritative,201
developer-agreement-transaction,local-authority:GRE,Royal Borough of Greenwich,authoritative,813
developer-agreement-transaction,local-authority:HAA,Havant Borough Council,authoritative,2041
developer-agreement-transaction,local-authority:HAL,Halton Borough Council,authoritative,525
developer-agreement-transaction,local-authority:HAT,Hart District Council,authoritative,127
developer-agreement-transaction,local-authority:HRT,Hertfordshire County Council,authoritative,627
developer-agreement-transaction,local-authority:IOW,Isle of Wight Council,authoritative,199
developer-agreement-transaction,local-authority:ISL,London Borough of Islington,authoritative,312
developer-agreement-transaction,local-authority:NEA,Newark and Sherwood District Council,authoritative,369
developer-agreement-transaction,local-authority:NEW,New Forest District Council,authoritative,216
developer-agreement-transaction,local-authority:NFK,Norfolk County Council,authoritative,259
developer-agreement-transaction,local-authority:NHE,North Hertfordshire District Council,authoritative,170
developer-agreement-transaction,local-authority:NLN,North Lincolnshire Council,authoritative,187
developer-agreement-transaction,local-authority:NTY,North Tyneside Council,authoritative,241
developer-agreement-transaction,local-authority:SGC,South Gloucestershire Council,authoritative,2552
developer-agreement-transaction,local-authority:SHA,South Hams District Council,authoritative,80
developer-agreement-transaction,local-authority:SLF,Salford City Council,authoritative,451
developer-agreement-transaction,local-authority:SND,Sunderland City Council,authoritative,2797
developer-agreement-transaction,local-authority:STO,Stroud District Council,authoritative,3591
developer-agreement-transaction,local-authority:TEW,Tewkesbury Borough Council,authoritative,279
developer-agreement-transaction,local-authority:TOB,Torbay Council,authoritative,14486
developer-agreement-transaction,local-authority:TON,Tonbridge and Malling Borough Council,authoritative,1144
developer-agreement-transaction,local-authority:TUN,Tunbridge Wells Borough Council,authoritative,105
developer-agreement-transaction,local-authority:WDE,West Devon Borough Council,authoritative,38
developer-agreement-transaction,local-authority:WIL,Wiltshire Council,authoritative,113
developer-agreement-transaction,local-authority:WOC,Worcester City Council,authoritative,51
developer-agreement-transaction,local-authority:WOT,Worthing Borough Council,authoritative,60
developer-agreement-transaction,national-park-authority:Q20198711,South Downs National Park Authority,authoritative,211
developer-agreement-transaction,national-park-authority:Q27178932,Yorkshire Dales National Park Authority,authoritative,1
developer-agreement-transaction,national-park-authority:Q72617158,New Forest National Park Authority,authoritative,130
developer-agreement-transaction,national-park-authority:Q72617669,North York Moors National Park Authority,authoritative,29
developer-agreement-type,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",some,3
development-corporation,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",some,1
development-corporation-boundary,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",some,9
development-corporation-boundary,local-authority:GMCA,Greater Manchester Combined Authority,authoritative,4
development-plan-document,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",authoritative,5
development-plan-document-type,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",authoritative,16
educational-establishment,government-organisation:D6,Department for Education,authoritative,47047
flood-risk-level,government-organisation:EA199,Environment Agency,authoritative,3
flood-risk-type,government-organisation:EA199,Environment Agency,authoritative,5
flood-risk-zone,government-organisation:EA199,Environment Agency,authoritative,780636
flood-storage-area,government-organisation:EA199,Environment Agency,authoritative,510
government-organisation,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",authoritative,1
green-belt,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",authoritative,190
green-belt-core,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",authoritative,16
heritage-at-risk,government-organisation:PB1164,Historic England,authoritative,5490
heritage-coast,government-organisation:PB202,Natural England,authoritative,32
infrastructure-funding-statement,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",some,205
infrastructure-funding-statement,local-authority:EAT,Eastleigh Borough Council,authoritative,7
infrastructure-funding-statement,local-authority:HAL,Halton Borough Council,authoritative,6
infrastructure-funding-statement,local-authority:HNS,London Borough of Hounslow,authoritative,2
infrastructure-funding-statement,local-authority:IOS,Council of the Isles of Scilly,authoritative,3
infrastructure-funding-statement,local-authority:SST,South Staffordshire Council,authoritative,5
infrastructure-funding-statement,local-authority:TOB,Torbay Council,authoritative,1
infrastructure-project,government-organisation:EA39,Planning Inspectorate,authoritative,233
infrastructure-project-decision,government-organisation:EA39,Planning Inspectorate,authoritative,4
infrastructure-project-document-type,government-organisation:EA39,Planning Inspectorate,authoritative,5
infrastructure-project-event,government-organisation:EA39,Planning Inspectorate,authoritative,9
infrastructure-project-type,government-organisation:EA39,Planning Inspectorate,authoritative,10
listed-building,government-organisation:PB1164,Historic England,authoritative,382193
listed-building-grade,government-organisation:PB1164,Historic England,some,3
listed-building-outline,local-authority:ADU,Adur District Council,authoritative,118
listed-building-outline,local-authority:ASF,Ashford Borough Council,authoritative,2410
listed-building-outline,local-authority:BAE,Bassetlaw District Council,authoritative,1116
listed-building-outline,local-authority:BDG,London Borough of Barking and Dagenham,authoritative,48
listed-building-outline,local-authority:BEN,London Borough of Brent,authoritative,582
listed-building-outline,local-authority:BIR,Birmingham City Council,authoritative,1498
listed-building-outline,local-authority:BNE,London Borough of Barnet,authoritative,651
listed-building-outline,local-authority:BST,Bristol City Council,authoritative,4154
listed-building-outline,local-authority:BUC,Buckinghamshire Council,authoritative,5877
listed-building-outline,local-authority:CAB,Cambridge City Council,authoritative,839
listed-building-outline,local-authority:CAS,Castle Point Borough Council,authoritative,36
listed-building-outline,local-authority:CAT,Canterbury City Council,authoritative,1876
listed-building-outline,local-authority:CBF,Central Bedfordshire Council,authoritative,1918
listed-building-outline,local-authority:CLD,Calderdale Metropolitan Borough Council,authoritative,2197
listed-building-outline,local-authority:CMD,London Borough of Camden,authoritative,1967
listed-building-outline,local-authority:COL,Colchester City Council,authoritative,1560
listed-building-outline,local-authority:COT,Cotswold District Council,authoritative,5016
listed-building-outline,local-authority:COV,Coventry City Council,authoritative,313
listed-building-outline,local-authority:DAR,Dartford Borough Council,authoritative,187
listed-building-outline,local-authority:DNC,Doncaster Metropolitan Borough Council,authoritative,800
listed-building-outline,local-authority:DOV,Dover District Council,authoritative,1699
listed-building-outline,local-authority:DST,Dorset Council,authoritative,8859
listed-building-outline,local-authority:ECA,East Cambridgeshire District Council,authoritative,990
listed-building-outline,local-authority:EHA,East Hampshire District Council,authoritative,1581
listed-building-outline,local-authority:EHE,East Hertfordshire District Council,authoritative,3020
listed-building-outline,local-authority:EPS,Epsom and Ewell Borough Council,authoritative,272
listed-building-outline,local-authority:FOE,Forest of Dean District Council,authoritative,1487
listed-building-outline,local-authority:GAT,Gateshead Metropolitan Borough Council,authoritative,248
listed-building-outline,local-authority:GLO,Gloucester City Council,authoritative,486
listed-building-outline,local-authority:GRY,Great Yarmouth Borough Council,authoritative,431
listed-building-outline,local-authority:HAA,Havant Borough Council,authoritative,246
listed-building-outline,local-authority:HAL,Halton Borough Council,authoritative,132
listed-building-outline,local-authority:HAR,Harlow District Council,authoritative,179
listed-building-outline,local-authority:HAT,Hart District Council,authoritative,977
listed-building-outline,local-authority:HIL,London Borough of Hillingdon,authoritative,441
listed-building-outline,local-authority:HOR,Horsham District Council,authoritative,1765
listed-building-outline,local-authority:HRY,London Borough of Haringey,authoritative,224
listed-building-outline,local-authority:HUN,Huntingdonshire District Council,authoritative,2236
listed-building-outline,local-authority:KEC,Royal Borough of Kensington and Chelsea,authoritative,2609
listed-building-outline,local-authority:KHL,Hull City Council,authoritative,498
listed-building-outline,local-authority:KIN,Borough Council of King's Lynn and West Norfolk,authoritative,1988
listed-building-outline,local-authority:LBH,London Borough of Lambeth,authoritative,949
listed-building-outline,local-authority:LCE,Leicester City Council,authoritative,396
listed-building-outline,local-authority:LDS,Leeds City Council,authoritative,2368
listed-building-outline,local-authority:LEW,London Borough of Lewisham,authoritative,364
listed-building-outline,local-authority:LIV,Liverpool City Council,authoritative,1538
listed-building-outline,local-authority:LND,City of London Corporation,authoritative,636
listed-building-outline,local-authority:MAI,Maidstone Borough Council,authoritative,2044
listed-building-outline,local-authority:MDW,Medway Council,authoritative,653
listed-building-outline,local-authority:MIK,Milton Keynes City Council,authoritative,1001
listed-building-outline,local-authority:NBL,Northumberland County Council,authoritative,5397
listed-building-outline,local-authority:NET,Newcastle City Council,authoritative,770
listed-building-outline,local-authority:NEW,New Forest District Council,authoritative,907
listed-building-outline,local-authority:NLN,North Lincolnshire Council,authoritative,916
listed-building-outline,local-authority:NNO,North Norfolk District Council,authoritative,2688
listed-building-outline,local-authority:NSM,North Somerset Council,authoritative,1084
listed-building-outline,local-authority:NTY,North Tyneside Council,authoritative,221
listed-building-outline,local-authority:OLD,Oldham Metropolitan Borough Council,authoritative,549
listed-building-outline,local-authority:OXO,Oxford City Council,authoritative,1590
listed-building-outline,local-authority:PLY,Plymouth City Council,authoritative,756
listed-building-outline,local-authority:PTE,Peterborough City Council,authoritative,927
listed-building-outline,local-authority:RCH,Rochdale Metropolitan Borough Council,authoritative,377
listed-building-outline,local-authority:ROS,Rossendale Borough Council,authoritative,278
listed-building-outline,local-authority:SAL,St Albans City and District Council,authoritative,840
listed-building-outline,local-authority:SAW,Sandwell Metropolitan Borough Council,authoritative,214
listed-building-outline,local-authority:SCA,South Cambridgeshire District Council,authoritative,2697
listed-building-outline,local-authority:SFT,Sefton Metropolitan Borough Council,authoritative,569
listed-building-outline,local-authority:SGC,South Gloucestershire Council,authoritative,2084
listed-building-outline,local-authority:SKP,Stockport Metropolitan Borough Council,authoritative,395
listed-building-outline,local-authority:SLF,Salford City Council,authoritative,240
listed-building-outline,local-authority:SPE,Spelthorne Borough Council,authoritative,198
listed-building-outline,local-authority:SST,South Staffordshire Council,authoritative,662
listed-building-outline,local-authority:STE,Stoke-on-Trent City Council,authoritative,212
listed-building-outline,local-authority:SUR,Surrey Heath Borough Council,authoritative,191
listed-building-outline,local-authority:SWK,London Borough of Southwark,authoritative,913
listed-building-outline,local-authority:SWL,Swale Borough Council,authoritative,1443
listed-building-outline,local-authority:TAN,Tandridge District Council,authoritative,608
listed-building-outline,local-authority:TEW,Tewkesbury Borough Council,authoritative,1684
listed-building-outline,local-authority:THA,Thanet District Council,authoritative,1032
listed-building-outline,local-authority:TOB,Torbay Council,authoritative,919
listed-building-outline,local-authority:TWH,London Borough of Tower Hamlets,authoritative,904
listed-building-outline,local-authority:UTT,Uttlesford District Council,authoritative,4090
listed-building-outline,local-authority:WBK,West Berkshire Council,authoritative,1893
listed-building-outline,local-authority:WFT,London Borough of Waltham Forest,authoritative,161
listed-building-outline,local-authority:WOT,Worthing Borough Council,authoritative,217
listed-building-outline,local-authority:WRL,Wirral Borough Council,authoritative,1849
listed-building-outline,local-authority:WSM,City of Westminster,authoritative,3455
listed-building-outline,national-park-authority:Q27159704,Lake District National Park Authority,authoritative,1814
listed-building-outline,national-park-authority:Q72617158,New Forest National Park Authority,authoritative,628
local-authority-district,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",some,48
local-authority-district,government-organisation:D303,Office for National Statistics,some,296
local-authority-type,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",some,8
local-nature-reserve,government-organisation:PB202,Natural England,authoritative,1727
local-plan,government-organisation:D1342,"Ministry of Housing, Communities & Local Government",some,925
local-plan,local-authority:CBF,Central Bedfordshire Council,authoritative,5
