dataset,organisation,entity-minimum,entity-maximum
conservation-area,local-authority:LCE,44006443,44006466
conservation-area,local-authority:LCE,44007866,44007866
conservation-area,local-authority:LCE,44010271,44010271
conservation-area,local-authority:LEW,44008713,44008713
conservation-area,local-authority:LEW,44008754,44008754
conservation-area,local-authority:LEW,44008766,44008766
conservation-area,local-authority:LEW,44008787,44008787
conservation-area,local-authority:LEW,44008805,44008805
conservation-area,local-authority:LEW,44008816,44008817
conservation-area,local-authority:LEW,44008822,44008822
conservation-area,local-authority:LEW,44008837,44008837
conservation-area,local-authority:LEW,44008840,44008845
conservation-area,local-authority:LEW,44008847,44008847
conservation-area,local-authority:LEW,44008849,44008852
conservation-area,local-authority:LEW,44008858,44008859
conservation-area,local-authority:LEW,44008861,44008865
conservation-area,local-authority:LEW,44009097,44009097
conservation-area,local-authority:LND,44002494,44002515
conservation-area,local-authority:LND,44009162,44009165
conservation-area,local-authority:LND,44009168,44009168
conservation-area,local-authority:LND,44012283,44012304
conservation-area,local-authority:MAL,44001675,44001675
conservation-area,local-authority:MAL,44001734,44001734
conservation-area,local-authority:MAL,44004492,44004492
conservation-area,local-authority:MAL,44007752,44007830
conservation-area,local-authority:MDW,44009804,44009827
conservation-area,local-authority:MOL,44001802,44001802
conservation-area,local-authority:MOL,44001815,44001815
conservation-area,local-authority:MOL,44001847,44001847
conservation-area,local-authority:MOL,44001877,44001877
conservation-area,local-authority:MOL,44001918,44001918
conservation-area,local-authority:MOL,44001975,44001975
conservation-area,local-authority:MOL,44002094,44002094
conservation-area,local-authority:MOL,44002200,44002200
conservation-area,local-authority:MOL,44002225,44002225
conservation-area,local-authority:MOL,44002245,44002245
conservation-area,local-authority:MOL,44002272,44002277
conservation-area,local-authority:MOL,44002293,44002293
conservation-area,local-authority:MOL,44004241,44004250
conservation-area,local-authority:MOL,44008695,44008707
conservation-area,local-authority:MRT,44005395,44005421
conservation-area,local-authority:MRT,44009012,44009012
conservation-area,local-authority:MRT,44009014,44009014
conservation-area,local-authority:NDO,44008601,44008642
conservation-area,local-authority:NDO,44009166,44009167
conservation-area,local-authority:NDO,44009169,44009177
conservation-area,local-authority:NDO,44009932,44009957
conservation-area,local-authority:NDO,44012343,44012343
conservation-area,local-authority:NED,44003647,44003676
conservation-area,local-authority:NED,44008596,44008600
conservation-area,local-authority:NET,44000537,44000548
conservation-area,local-authority:NET,44002959,44002959
conservation-area,local-authority:NLN,44001414,44001417
conservation-area,local-authority:NLN,44005169,44005181
conservation-area,local-authority:NOW,44007902,44007918
conservation-area,local-authority:NSM,44010141,44010179
conservation-area,local-authority:NWM,44003415,44003421
conservation-area,local-authority:OLD,44000549,44000549
conservation-area,local-authority:OLD,44000551,44000558
conservation-area,local-authority:OLD,44000560,44000562
conservation-area,local-authority:OLD,44000564,44000565
conservation-area,local-authority:OLD,44000568,44000572
conservation-area,local-authority:OLD,44007925,44007960
conservation-area,local-authority:OLD,44009154,44009155
conservation-area,local-authority:OLD,44009958,44009982
conservation-area,local-authority:OLD,44012321,44012322
conservation-area,local-authority:OLD,44012324,44012329
conservation-area,local-authority:PLY,44012305,44012319
conservation-area,local-authority:PTE,44001130,44001130
conservation-area,local-authority:PTE,44001319,44001327
conservation-area,local-authority:PTE,44004541,44004600
conservation-area,local-authority:PTE,44004944,44004959
conservation-area,local-authority:PTE,44005182,44005183
conservation-area,local-authority:PUR,44007978,44008103
conservation-area,local-authority:RDB,44000591,44000604
conservation-area,local-authority:RDB,44004081,44004081
conservation-area,local-authority:RDB,44008819,44008819
conservation-area,local-authority:RDB,44008891,44008891
conservation-area,local-authority:RDB,44009051,44009051
conservation-area,local-authority:RIC,44002450,44002493
conservation-area,local-authority:RIC,44005247,44005253
conservation-area,local-authority:RIC,44006531,44006535
conservation-area,local-authority:RIC,44006706,44006717
conservation-area,local-authority:RIC,44006794,44006794
conservation-area,local-authority:RIC,44009073,44009073
conservation-area,local-authority:RIC,44009077,44009087
conservation-area,local-authority:ROC,44008337,44008346
conservation-area,local-authority:ROH,44010296,44010305
conservation-area,local-authority:ROS,44010125,44010134
conservation-area,local-authority:SAL,44000001,44000014
conservation-area,local-authority:SAL,44004483,44004484
conservation-area,local-authority:SAL,44005481,44005481
conservation-area,local-authority:SAL,44005783,44005783
conservation-area,local-authority:SAL,44010080,44010124
conservation-area,local-authority:SAW,44010208,44010216
conservation-area,local-authority:SEG,44003388,44003401
conservation-area,local-authority:SEG,44007871,44007872
conservation-area,local-authority:SHF,44006554,44006583
conservation-area,local-authority:SHF,44007874,44007890
conservation-area,local-authority:SHF,44008199,44008199
conservation-area,local-authority:SHF,44009157,44009159
conservation-area,local-authority:SHN,44004834,44004834
conservation-area,local-authority:SHN,44004942,44004942
conservation-area,local-authority:SHN,44007672,44007679
conservation-area,local-authority:SKP,44004838,44004874
conservation-area,local-authority:SLF,44004019,44004019
conservation-area,local-authority:SLF,44005150,44005162
conservation-area,local-authority:SLF,44008200,44008215
conservation-area,local-authority:SLF,44008708,44008711
conservation-area,local-authority:SOS,44001617,44001628
conservation-area,local-authority:SOS,44007966,44007973
conservation-area,local-authority:SOX,44004350,44004420
conservation-area,local-authority:SOX,44007680,44007751
conservation-area,local-authority:SOX,44009139,44009141
conservation-area,local-authority:STH,44001995,44001995
conservation-area,local-authority:STH,44004322,44004337
conservation-area,local-authority:STH,44005373,44005375
conservation-area,local-authority:STH,44008198,44008198
conservation-area,local-authority:STN,44008764,44008764
conservation-area,local-authority:STN,44008823,44008825
conservation-area,local-authority:STN,44008833,44008833
conservation-area,local-authority:STN,44008846,44008846
conservation-area,local-authority:STN,44008854,44008855
conservation-area,local-authority:STN,44008866,44008872
conservation-area,local-authority:SWK,44002349,44002381
conservation-area,local-authority:SWK,44004078,44004080
conservation-area,local-authority:SWK,44006536,44006542
conservation-area,local-authority:SWK,44006871,44006874
conservation-area,local-authority:SWK,44007440,44007447
conservation-area,local-authority:SWK,44009058,44009060
conservation-area,local-authority:SWK,44010217,44010269
conservation-area,local-authority:TEW,44000701,44000712
conservation-area,local-authority:TEW,44005232,44005233
conservation-area,local-authority:TRF,44006481,44006515
conservation-area,local-authority:TRF,44009105,44009106
conservation-area,local-authority:TRF,44010414,44010414
conservation-area,local-authority:TWH,44003435,44003489
conservation-area,local-authority:TWH,44006543,44006545
conservation-area,local-authority:TWH,44009009,44009011
conservation-area,local-authority:TWH,44009090,44009090
conservation-area,local-authority:TWH,44010586,44010588
conservation-area,local-authority:VAL,44004423,44004473
conservation-area,local-authority:VAL,44008247,44008297
conservation-area,local-authority:VAL,44009160,44009161
conservation-area,local-authority:WAE,44001859,44001872
conservation-area,local-authority:WAE,44001926,44001926
conservation-area,local-authority:WAE,44001933,44001933
conservation-area,local-authority:WAE,44001989,44001989
conservation-area,local-authority:WAE,44002019,44002022
conservation-area,local-authority:WAE,44002027,44002027
conservation-area,local-authority:WAE,44002043,44002043
conservation-area,local-authority:WAE,44002055,44002060
conservation-area,local-authority:WAE,44002067,44002067
conservation-area,local-authority:WAE,44002102,44002102
conservation-area,local-authority:WAE,44002124,44002124
conservation-area,local-authority:WAE,44002130,44002130
conservation-area,local-authority:WAE,44002151,44002151
conservation-area,local-authority:WAE,44002175,44002175
conservation-area,local-authority:WAE,44002191,44002191
conservation-area,local-authority:WAE,44002211,44002211
conservation-area,local-authority:WAE,44002232,44002237
conservation-area,local-authority:WAE,44002304,44002304
conservation-area,local-authority:WAE,44002315,44002315
conservation-area,local-authority:WAE,44002321,44002321
conservation-area,local-authority:WAE,44008643,44008655
conservation-area,local-authority:WBK,44000713,44000757
conservation-area,local-authority:WBK,44010135,44010140
conservation-area,local-authority:WFT,44003424,44003434
conservation-area,local-authority:WFT,44006546,44006548
conservation-area,local-authority:WFT,44008877,44008877
conservation-area,local-authority:WND,44001043,44001076
conservation-area,local-authority:WND,44004067,44004076
conservation-area,local-authority:WND,44006549,44006549
conservation-area,local-authority:WND,44009103,44009103
conservation-area,local-authority:WNM,44007873,44007873
conservation-area,local-authority:WOX,44001831,44001831
conservation-area,local-authority:WOX,44001891,44001891
conservation-area,local-authority:WOX,44001903,44001903
conservation-area,local-authority:WOX,44001906,44001908
conservation-area,local-authority:WOX,44001916,44001916
conservation-area,local-authority:WOX,44001919,44001919
conservation-area,local-authority:WOX,44001924,44001924
conservation-area,local-authority:WOX,44001930,44001930
conservation-area,local-authority:WOX,44001945,44001945
conservation-area,local-authority:WOX,44001950,44001950
conservation-area,local-authority:WOX,44001954,44001954
conservation-area,local-authority:WOX,44001984,44001984
conservation-area,local-authority:WOX,44001996,44001996
conservation-area,local-authority:WOX,44002002,44002007
conservation-area,local-authority:WOX,44002012,44002012
conservation-area,local-authority:WOX,44002037,44002037
conservation-area,local-authority:WOX,44002048,44002049
conservation-area,local-authority:WOX,44002064,44002064
conservation-area,local-authority:WOX,44002069,44002071
conservation-area,local-authority:WOX,44002091,44002092
conservation-area,local-authority:WOX,44002109,44002109
conservation-area,local-authority:WOX,44002134,44002134
conservation-area,local-authority:WOX,44002137,44002137
conservation-area,local-authority:WOX,44002143,44002144
conservation-area,local-authority:WOX,44002159,44002161
conservation-area,local-authority:WOX,44002177,44002177
conservation-area,local-authority:WOX,44002188,44002188
conservation-area,local-authority:WOX,44002195,44002198
conservation-area,local-authority:WOX,44002203,44002203
conservation-area,local-authority:WOX,44002251,44002251
conservation-area,local-authority:WOX,44002262,44002264
conservation-area,local-authority:WOX,44002284,44002284
conservation-area,local-authority:WOX,44002295,44002295
conservation-area,local-authority:WOX,44002305,44002305
conservation-area,local-authority:WOX,44004421,44004422
conservation-area,local-authority:WOX,44005536,44005536
conservation-area,local-authority:WOX,44006679,44006680
conservation-area,local-authority:WOX,44012336,44012336
conservation-area,local-authority:WRL,44000663,44000684
conservation-area,local-authority:WRL,44005447,44005448
conservation-area,local-authority:WRL,44012275,44012276
conservation-area,local-authority:WSM,44002850,44002903
conservation-area,local-authority:WSM,44004092,44004093
conservation-area,local-authority:WSM,44008909,44008909
conservation-area,local-authority:WSM,44009069,44009069
conservation-area,local-authority:YOR,44005080,44005113
conservation-area,local-authority:YOR,44006150,44006150
conservation-area,local-authority:YOR,44007670,44007671
conservation-area,local-authority:YOR,44009133,44009138
conservation-area,national-park-authority:Q72617988,44000191,44000191
conservation-area,national-park-authority:Q72617988,44001151,44001229
conservation-area,national-park-authority:Q72617988,44003134,44003135
conservation-area,national-park-authority:Q72617988,44004722,44004722
conservation-area,national-park-authority:Q72617988,44005284,44005284
conservation-area,national-park-authority:Q72617988,44005810,44005906
conservation-area,national-park-authority:Q72617988,44006364,44006367
conservation-area,national-park-authority:Q72617988,44007421,44007439
conservation-area-document,local-authority:BIR,6300438,6300479
conservation-area-document,local-authority:BNE,6303262,6303301
conservation-area-document,local-authority:BST,6300480,6300513
conservation-area-document,local-authority:CAS,6300230,6300231
conservation-area-document,local-authority:CMD,6300096,6300157
conservation-area-document,local-authority:NLN,6300045,6300061
conservation-area-document,local-authority:PLY,6303302,6303316
conservation-area-document,local-authority:PTE,6300158,6300213
conservation-area-document,local-authority:ROH,6300214,6300229
conservation-area-document,local-authority:ROS,6300062,6300095
conservation-area-document,local-authority:SAL,6300000,6300044
conservation-area-document,local-authority:WRL,6303118,6303261
