dataset,organisation,entity-minimum,entity-maximum
conservation-area,development-corporation:Q6670544,44003422,44003423
conservation-area,development-corporation:Q6670544,44006543,44006543
conservation-area,development-corporation:Q6670544,44009061,44009061
conservation-area,local-authority:BAB,44005968,44005997
conservation-area,local-authority:BAB,44008683,44008684
conservation-area,local-authority:BDG,44002915,44002918
conservation-area,local-authority:BEN,44008733,44008733
conservation-area,local-authority:BEN,44008831,44008831
conservation-area,local-authority:BEN,44008835,44008835
conservation-area,local-authority:BEN,44008875,44008875
conservation-area,local-authority:BEN,44008886,44008886
conservation-area,local-authority:BEN,44008890,44008890
conservation-area,local-authority:BEN,44008892,44008900
conservation-area,local-authority:BEN,44008902,44008908
conservation-area,local-authority:BEN,44008910,44008910
conservation-area,local-authority:BEX,44002792,44002807
conservation-area,local-authority:BEX,44008761,44008761
conservation-area,local-authority:BEX,44008774,44008774
conservation-area,local-authority:BEX,44008873,44008874
conservation-area,local-authority:BEX,44008876,44008876
conservation-area,local-authority:BEX,44008878,44008880
conservation-area,local-authority:BEX,44008901,44008901
conservation-area,local-authority:BEX,44008960,44008960
conservation-area,local-authority:BEX,44008997,44008997
conservation-area,local-authority:BEX,44009008,44009008
conservation-area,local-authority:BEX,44009013,44009013
conservation-area,local-authority:BIR,44009828,44009856
conservation-area,local-authority:BNE,44002411,44002424
conservation-area,local-authority:BNE,44004082,44004082
conservation-area,local-authority:BNE,44006529,44006529
conservation-area,local-authority:BOL,44009108,44009132
conservation-area,local-authority:BOL,44012320,44012320
conservation-area,local-authority:BRC,44001799,44001799
conservation-area,local-authority:BRC,44001838,44001838
conservation-area,local-authority:BRC,44001998,44001998
conservation-area,local-authority:BRC,44002286,44002286
conservation-area,local-authority:BRC,44007964,44007965
conservation-area,local-authority:BRD,44004967,44005025
conservation-area,local-authority:BRT,44000071,44000071
conservation-area,local-authority:BRT,44001418,44001425
conservation-area,local-authority:BRT,44004623,44004628
conservation-area,local-authority:BRT,44007976,44007977
conservation-area,local-authority:BRY,44002813,44002846
conservation-area,local-authority:BRY,44007140,44007144
conservation-area,local-authority:BRY,44008718,44008718
conservation-area,local-authority:BRY,44008729,44008729
conservation-area,local-authority:BRY,44008741,44008741
conservation-area,local-authority:BRY,44008743,44008743
conservation-area,local-authority:BRY,44008745,44008745
conservation-area,local-authority:BRY,44008747,44008747
conservation-area,local-authority:BRY,44008813,44008814
conservation-area,local-authority:BRY,44008853,44008853
conservation-area,local-authority:BRY,44008856,44008856
conservation-area,local-authority:BRY,44008860,44008860
conservation-area,local-authority:BRY,44008889,44008889
conservation-area,local-authority:BRY,44008914,44008914
conservation-area,local-authority:BRY,44008981,44008982
conservation-area,local-authority:BRY,44009016,44009042
conservation-area,local-authority:BRY,44009096,44009096
conservation-area,local-authority:BRY,44009101,44009101
conservation-area,local-authority:BST,44010589,44010622
conservation-area,local-authority:BUC,44006432,44006432
conservation-area,local-authority:BUC,44007468,44007669
conservation-area,local-authority:BUC,44009392,44009593
conservation-area,local-authority:BUC,44009598,44009613
conservation-area,local-authority:BUC,44010415,44010585
conservation-area,local-authority:CAR,44000997,44001006
conservation-area,local-authority:CAR,44005071,44005076
conservation-area,local-authority:CAR,44007831,44007850
conservation-area,local-authority:CAR,44009142,44009145
conservation-area,local-authority:CAS,44010309,44010310
conservation-area,local-authority:CAT,44001792,44001792
conservation-area,local-authority:CAT,44001824,44001825
conservation-area,local-authority:CAT,44001827,44001829
conservation-area,local-authority:CAT,44001833,44001837
conservation-area,local-authority:CAT,44001841,44001841
conservation-area,local-authority:CAT,44001853,44001856
conservation-area,local-authority:CAT,44001875,44001875
conservation-area,local-authority:CAT,44001883,44001890
conservation-area,local-authority:CAT,44001895,44001895
conservation-area,local-authority:CAT,44001909,44001911
conservation-area,local-authority:CAT,44001921,44001921
conservation-area,local-authority:CAT,44001944,44001944
conservation-area,local-authority:CAT,44001946,44001947
conservation-area,local-authority:CAT,44001953,44001953
conservation-area,local-authority:CAT,44001970,44001970
conservation-area,local-authority:CAT,44002013,44002013
conservation-area,local-authority:CAT,44002025,44002025
conservation-area,local-authority:CAT,44002045,44002045
conservation-area,local-authority:CAT,44002065,44002065
conservation-area,local-authority:CAT,44002082,44002083
conservation-area,local-authority:CAT,44002100,44002101
conservation-area,local-authority:CAT,44002104,44002106
conservation-area,local-authority:CAT,44002129,44002129
conservation-area,local-authority:CAT,44002133,44002133
conservation-area,local-authority:CAT,44002135,44002135
conservation-area,local-authority:CAT,44002150,44002150
conservation-area,local-authority:CAT,44002162,44002173
conservation-area,local-authority:CAT,44002179,44002184
conservation-area,local-authority:CAT,44002192,44002192
conservation-area,local-authority:CAT,44002204,44002205
conservation-area,local-authority:CAT,44002218,44002219
conservation-area,local-authority:CAT,44002241,44002241
conservation-area,local-authority:CAT,44002257,44002260
conservation-area,local-authority:CAT,44002281,44002281
conservation-area,local-authority:CAT,44002287,44002287
conservation-area,local-authority:CAT,44002301,44002301
conservation-area,local-authority:CAT,44002316,44002316
conservation-area,local-authority:CAT,44004189,44004192
conservation-area,local-authority:CAT,44008298,44008336
conservation-area,local-authority:CAT,44009983,44010079
conservation-area,local-authority:CHI,44009104,44009104
conservation-area,local-authority:CHI,44009107,44009107
conservation-area,local-authority:CLD,44003007,44003022
conservation-area,local-authority:CLD,44007919,44007924
conservation-area,local-authority:CMD,44009614,44009662
conservation-area,local-authority:CMD,44009885,44009885
conservation-area,local-authority:CON,44000193,44000377
conservation-area,local-authority:CON,44000581,44000586
conservation-area,local-authority:CON,44000652,44000653
conservation-area,local-authority:CON,44000685,44000700
conservation-area,local-authority:CON,44002596,44002687
conservation-area,local-authority:CON,44002919,44002919
conservation-area,local-authority:CON,44003985,44004002
conservation-area,local-authority:CON,44006430,44006431
conservation-area,local-authority:CON,44006432,44006432
conservation-area,local-authority:CON,44007867,44007870
conservation-area,local-authority:CON,44009594,44009597
conservation-area,local-authority:COT,44003142,44003280
conservation-area,local-authority:COT,44005740,44005740
conservation-area,local-authority:COT,44006675,44006678
conservation-area,local-authority:COT,44007974,44007975
conservation-area,local-authority:CRY,44001014,44001014
conservation-area,local-authority:CRY,44006922,44006938
conservation-area,local-authority:CRY,44008881,44008881
conservation-area,local-authority:CRY,44008883,44008883
conservation-area,local-authority:DNC,44009886,44009931
conservation-area,local-authority:DOV,44009701,44009803
conservation-area,local-authority:DUD,44008197,44008197
conservation-area,local-authority:DUD,44008216,44008246
conservation-area,local-authority:DUR,44008104,44008196
conservation-area,local-authority:EAL,44002323,44002348
conservation-area,local-authority:EAL,44004064,44004066
conservation-area,local-authority:EAL,44008917,44008920
conservation-area,local-authority:ECA,44010180,44010207
conservation-area,local-authority:ENF,44008714,44008717
conservation-area,local-authority:ENF,44008719,44008720
conservation-area,local-authority:ENF,44008722,44008728
conservation-area,local-authority:ENF,44008730,44008732
conservation-area,local-authority:ENF,44008734,44008740
conservation-area,local-authority:ENF,44008742,44008742
conservation-area,local-authority:ENF,44010272,44010295
conservation-area,local-authority:EPS,44001788,44001790
conservation-area,local-authority:EPS,44001803,44001803
conservation-area,local-authority:EPS,44001826,44001826
conservation-area,local-authority:EPS,44001857,44001858
conservation-area,local-authority:EPS,44001904,44001904
conservation-area,local-authority:EPS,44001913,44001913
conservation-area,local-authority:EPS,44001937,44001937
conservation-area,local-authority:EPS,44001965,44001966
conservation-area,local-authority:EPS,44001971,44001971
conservation-area,local-authority:EPS,44001983,44001983
conservation-area,local-authority:EPS,44002009,44002009
conservation-area,local-authority:EPS,44002032,44002032
conservation-area,local-authority:EPS,44002052,44002052
conservation-area,local-authority:EPS,44002068,44002068
conservation-area,local-authority:EPS,44002086,44002090
conservation-area,local-authority:EPS,44002107,44002107
conservation-area,local-authority:EPS,44002139,44002139
conservation-area,local-authority:EPS,44008656,44008682
conservation-area,local-authority:EPS,44009878,44009884
conservation-area,local-authority:ESK,44007891,44007901
conservation-area,local-authority:GAT,44009857,44009877
conservation-area,local-authority:GAT,44010270,44010270
conservation-area,local-authority:GED,44001676,44001678
conservation-area,local-authority:GED,44005047,44005047
conservation-area,local-authority:GED,44006733,44006734
conservation-area,local-authority:GLO,44009664,44009677
conservation-area,local-authority:GRE,44008815,44008815
conservation-area,local-authority:GRE,44009043,44009050
conservation-area,local-authority:GRE,44009052,44009056
conservation-area,local-authority:GRY,44009678,44009700
conservation-area,local-authority:HAL,44000380,44000387
conservation-area,local-authority:HAL,44007961,44007963
conservation-area,local-authority:HAV,44002904,44002914
conservation-area,local-authority:HCK,44006227,44006249
conservation-area,local-authority:HCK,44006876,44006881
conservation-area,local-authority:HCK,44008753,44008753
conservation-area,local-authority:HCK,44008759,44008759
conservation-area,local-authority:HCK,44008762,44008763
conservation-area,local-authority:HCK,44009057,44009057
conservation-area,local-authority:HCK,44009089,44009089
conservation-area,local-authority:HIL,44002425,44002449
conservation-area,local-authority:HIL,44004083,44004085
conservation-area,local-authority:HIL,44006368,44006370
conservation-area,local-authority:HIL,44008848,44008848
conservation-area,local-authority:HIL,44008915,44008916
conservation-area,local-authority:HIL,44008921,44008925
conservation-area,local-authority:HIL,44009093,44009093
conservation-area,local-authority:HMF,44008347,44008380
conservation-area,local-authority:HMF,44008381,44008387
conservation-area,local-authority:HMF,44008744,44008744
conservation-area,local-authority:HMF,44008746,44008746
conservation-area,local-authority:HMF,44008749,44008752
conservation-area,local-authority:HMF,44008755,44008755
conservation-area,local-authority:HMF,44009076,44009076
conservation-area,local-authority:HMF,44012323,44012323
conservation-area,local-authority:HMF,44012330,44012335
conservation-area,local-authority:HMF,44012337,44012342
conservation-area,local-authority:HMF,44012344,44012344
conservation-area,local-authority:HNS,44003402,44003413
conservation-area,local-authority:HNS,44006804,44006805
conservation-area,local-authority:HNS,44006885,44006885
conservation-area,local-authority:HNS,44008758,44008758
conservation-area,local-authority:HNS,44008818,44008818
conservation-area,local-authority:HNS,44008820,44008820
conservation-area,local-authority:HNS,44009062,44009067
conservation-area,local-authority:HNS,44009070,44009072
conservation-area,local-authority:HNS,44009074,44009075
conservation-area,local-authority:HOR,44003564,44003599
conservation-area,local-authority:HOR,44005186,44005186
conservation-area,local-authority:HOR,44010306,44010308
conservation-area,local-authority:HRW,44008756,44008757
conservation-area,local-authority:HRW,44008760,44008760
conservation-area,local-authority:HRW,44008768,44008768
conservation-area,local-authority:HRW,44008772,44008772
conservation-area,local-authority:HRW,44008777,44008777
conservation-area,local-authority:HRW,44008784,44008784
conservation-area,local-authority:HRW,44008790,44008790
conservation-area,local-authority:HRW,44008799,44008804
conservation-area,local-authority:HRW,44008807,44008809
conservation-area,local-authority:HRW,44008811,44008812
conservation-area,local-authority:HRW,44009088,44009088
conservation-area,local-authority:HRW,44009092,44009092
conservation-area,local-authority:HRW,44009094,44009095
conservation-area,local-authority:HRW,44009098,44009100
conservation-area,local-authority:HRW,44009102,44009102
conservation-area,local-authority:HRY,44008721,44008721
conservation-area,local-authority:HRY,44008748,44008748
conservation-area,local-authority:HRY,44008765,44008765
conservation-area,local-authority:HRY,44008767,44008767
conservation-area,local-authority:HRY,44008769,44008771
conservation-area,local-authority:HRY,44008773,44008773
conservation-area,local-authority:HRY,44008775,44008776
conservation-area,local-authority:HRY,44008778,44008783
conservation-area,local-authority:HRY,44008785,44008786
conservation-area,local-authority:HRY,44008788,44008789
conservation-area,local-authority:HRY,44008791,44008798
conservation-area,local-authority:HRY,44009091,44009091
conservation-area,local-authority:ISL,44008712,44008712
conservation-area,local-authority:ISL,44008956,44008958
conservation-area,local-authority:ISL,44008968,44008980
conservation-area,local-authority:ISL,44008983,44008996
conservation-area,local-authority:ISL,44008998,44009007
conservation-area,local-authority:KEC,44008380,44008380
conservation-area,local-authority:KEC,44008857,44008857
conservation-area,local-authority:KEC,44008882,44008882
conservation-area,local-authority:KEC,44008926,44008955
conservation-area,local-authority:KEC,44008959,44008959
conservation-area,local-authority:KEC,44008961,44008967
conservation-area,local-authority:KTT,44002387,44002410
conservation-area,local-authority:KTT,44004086,44004086
conservation-area,local-authority:KTT,44008806,44008806
conservation-area,local-authority:KTT,44008810,44008810
conservation-area,local-authority:KTT,44008821,44008821
conservation-area,local-authority:KTT,44009068,44009068
conservation-area,local-authority:KWL,44007851,44007865
conservation-area,local-authority:LBH,44000550,44000550
conservation-area,local-authority:LBH,44000559,44000559
conservation-area,local-authority:LBH,44000563,44000563
conservation-area,local-authority:LBH,44000566,44000567
conservation-area,local-authority:LBH,44000862,44000902
conservation-area,local-authority:LBH,44001077,44001077
conservation-area,local-authority:LBH,44004077,44004077
conservation-area,local-authority:LBH,44006592,44006594
conservation-area,local-authority:LBH,44006848,44006861
conservation-area,local-authority:LBH,44008585,44008595
conservation-area,local-authority:LBH,44008826,44008830
conservation-area,local-authority:LBH,44008832,44008832
conservation-area,local-authority:LBH,44008834,44008834
conservation-area,local-authority:LBH,44008836,44008836
conservation-area,local-authority:LBH,44008838,44008839
conservation-area,local-authority:LBH,44012345,44012345
