entity,entity_name,lpa_reference,lpa_name,la_name
44004818,Aycliffe Village,E60000001,County Durham LPA,Durham County Council
44004822,Mordon,E60000001,County Durham LPA,Durham County Council
44004823,Hardwick Park,E60000001,County Durham LPA,Durham County Council
44005530,Bishop Middleham,E60000001,County Durham LPA,Durham County Council
44004821,Mainsforth,E60000001,County Durham LPA,Durham County Council
44004820,Cornforth,E60000001,County Durham LPA,Durham County Council
44000444,Hett,E60000001,County Durham LPA,Durham County Council
44006437,Gainford,E60000001,County Durham LPA,Durham County Council
44000619,Little Newsham,E60000001,County Durham LPA,Durham County Council
44000618,Cleatlam,E60000001,County Durham LPA,Durham County Council
44000617,Headlam,E60000001,County Durham LPA,Durham County Council
44006434,Langton,E60000001,County Durham LPA,Durham County Council
44000615,Ingleton,E60000001,County Durham LPA,Durham County Council
44006003,Staindrop,E60000001,County Durham LPA,Durham County Council
44000614,Hilton,E60000001,County Durham LPA,Durham County Council
44000612,Wackerfield,E60000001,County Durham LPA,Durham County Council
44004814,Bolam,E60000001,County Durham LPA,Durham County Council
44000320,Brusselton,E60000001,County Durham LPA,Durham County Council
44005130,Shildon,E60000001,County Durham LPA,Durham County Council
44004817,Middridge,E60000001,County Durham LPA,Durham County Council
44004816,Windlestone,E60000001,County Durham LPA,Durham County Council
44000609,"Cockton Hill, Bishop Auckland",E60000001,County Durham LPA,Durham County Council
44006436,Bishop Auckland,E60000001,County Durham LPA,Durham County Council
44004815,Kirk Merrington,E60000001,County Durham LPA,Durham County Council
44000607,Hunwick,E60000001,County Durham LPA,Durham County Council
44000319,Whitworth,E60000001,County Durham LPA,Durham County Council
44000611,Cockfield,E60000001,County Durham LPA,Durham County Council
44006435,West Auckland,E60000001,County Durham LPA,Durham County Council
44000608,Witton-le-Wear,E60000001,County Durham LPA,Durham County Council
44004819,Crook,E60000001,County Durham LPA,Durham County Council
44000605,Thornley,E60000001,County Durham LPA,Durham County Council
44000451,Satley,E60000001,County Durham LPA,Durham County Council
44000450,Cornsay,E60000001,County Durham LPA,Durham County Council
44006438,Lanchester,E60000001,County Durham LPA,Durham County Council
44000449,Iveston,E60000001,County Durham LPA,Durham County Council
44000448,Annfield Plain,E60000001,County Durham LPA,Durham County Council
44000442,Bowburn,E60000001,County Durham LPA,Durham County Council
44000441,Sunderland Bridge,E60000001,County Durham LPA,Durham County Council
44000439,Burnhall,E60000001,County Durham LPA,Durham County Council
44000438,Old Cassop,E60000001,County Durham LPA,Durham County Council
44000435,Shincliffe,E60000001,County Durham LPA,Durham County Council
44000436,Shadforth,E60000001,County Durham LPA,Durham County Council
44000434,Sherburn House,E60000001,County Durham LPA,Durham County Council
44000433,Sherburn,E60000001,County Durham LPA,Durham County Council
44000432,Durham City,E60000001,County Durham LPA,Durham County Council
44000431,Pittington Hallgarth,E60000001,County Durham LPA,Durham County Council
44005131,Tudhoe,E60000001,County Durham LPA,Durham County Council
44000443,Holywell,E60000001,County Durham LPA,Durham County Council
44000440,Brancepeth,E60000001,County Durham LPA,Durham County Council
44000437,Brandon,E60000001,County Durham LPA,Durham County Council
44004828,Esh,E60000001,County Durham LPA,Durham County Council
44005132,Plawsworth,E60000001,County Durham LPA,Durham County Council
44006433,Beamish Burn,E60000001,County Durham LPA,Durham County Council
44000446,Tanfield,E60000001,County Durham LPA,Durham County Council
44005133,Chester-le-Street,E60000001,County Durham LPA,Durham County Council
44000447,Medomsley,E60000001,County Durham LPA,Durham County Council
44004832,Burnopfield,E60000001,County Durham LPA,Durham County Council
44006439,Sedgefield,E60000001,County Durham LPA,Durham County Council
44006004,Trimdon Village,E60000001,County Durham LPA,Durham County Council
44004826,Castle Eden,E60000001,County Durham LPA,Durham County Council
44004824,Easington Village,E60000001,County Durham LPA,Durham County Council
44000331,Hawthorn,E60000001,County Durham LPA,Durham County Council
44004825,Seaham,E60000001,County Durham LPA,Durham County Council
44000458,St John's Chapel,E60000001,County Durham LPA,Durham County Council
44000621,Bowes,E60000001,County Durham LPA,Durham County Council
44006001,Lartington,E60000001,County Durham LPA,Durham County Council
44000616,Cotherstone,E60000001,County Durham LPA,Durham County Council
44000613,Romaldkirk,E60000001,County Durham LPA,Durham County Council
44000610,Middleton-in-Teesdale,E60000001,County Durham LPA,Durham County Council
44005128,Newbiggin,E60000001,County Durham LPA,Durham County Council
44000457,Westgate,E60000001,County Durham LPA,Durham County Council
44000455,Eastgate,E60000001,County Durham LPA,Durham County Council
44004827,Hunstanworth,E60000001,County Durham LPA,Durham County Council
44000456,East Blackdene,E60000001,County Durham LPA,Durham County Council
44005127,"Ireshopeburn, Newhouse and West Blackdene",E60000001,County Durham LPA,Durham County Council
44000453,Wearhead,E60000001,County Durham LPA,Durham County Council
44000452,Cowshill,E60000001,County Durham LPA,Durham County Council
44000623,Barningham,E60000001,County Durham LPA,Durham County Council
44000622,Greta Bridge,E60000001,County Durham LPA,Durham County Council
44000620,Whorlton,E60000001,County Durham LPA,Durham County Council
44000624,Barnard Castle,E60000001,County Durham LPA,Durham County Council
44000459,Wolsingham,E60000001,County Durham LPA,Durham County Council
44005134,Muggleswick,E60000001,County Durham LPA,Durham County Council
44004829,Blackhill,E60000001,County Durham LPA,Durham County Council
44004830,Shotley Bridge,E60000001,County Durham LPA,Durham County Council
44004831,Ebchester,E60000001,County Durham LPA,Durham County Council
44005129,Eggleston,E60000001,County Durham LPA,Durham County Council
44006002,Mickleton,E60000001,County Durham LPA,Durham County Council
44000606,Frosterley,E60000001,County Durham LPA,Durham County Council
44000454,Stanhope,E60000001,County Durham LPA,Durham County Council
44005135,Edmondbyers,E60000001,County Durham LPA,Durham County Council
44000445,Low Westwood,E60000001,County Durham LPA,Durham County Council
44000116,Hurworth,E60000002,Darlington LPA,Darlington Borough Council
44000112,Victoria Embankment,E60000002,Darlington LPA,Darlington Borough Council
44004803,West End,E60000002,Darlington LPA,Darlington Borough Council
44006809,Parkgate,E60000002,Darlington LPA,Darlington Borough Council
44004804,Darlington Town Centre,E60000002,Darlington LPA,Darlington Borough Council
44000111,Northgate,E60000002,Darlington LPA,Darlington Borough Council
44000113,Cockerton Village,E60000002,Darlington LPA,Darlington Borough Council
44000108,High Coniscliffe,E60000002,Darlington LPA,Darlington Borough Council
44000109,Piercebridge,E60000002,Darlington LPA,Darlington Borough Council
44000107,Denton,E60000002,Darlington LPA,Darlington Borough Council
44000110,Summerhouse,E60000002,Darlington LPA,Darlington Borough Council
44006808,Heighington,E60000002,Darlington LPA,Darlington Borough Council
44000115,Middleton One Row,E60000002,Darlington LPA,Darlington Borough Council
