dataset,resource,line-number,entry-number,field,issue-type,value,message
parish,6ba76db9fabbaef9de65143166108cfbe2280b83c226b0e77f2fb92954e87229,1068,0,entity,unknown entity,statistical-geography:E04001211,
parish,6ba76db9fabbaef9de65143166108cfbe2280b83c226b0e77f2fb92954e87229,9528,0,entity,unknown entity,statistical-geography:E04012334,
parish,6ba76db9fabbaef9de65143166108cfbe2280b83c226b0e77f2fb92954e87229,10112,0,entity,unknown entity,statistical-geography:E04012990,
parish,6ba76db9fabbaef9de65143166108cfbe2280b83c226b0e77f2fb92954e87229,10113,0,entity,unknown entity,statistical-geography:E04012991,
parish,6ba76db9fabbaef9de65143166108cfbe2280b83c226b0e77f2fb92954e87229,10114,0,entity,unknown entity,statistical-geography:E04012992,
parish,6ba76db9fabbaef9de65143166108cfbe2280b83c226b0e77f2fb92954e87229,10115,0,entity,unknown entity,statistical-geography:E04012993,
parish,6ba76db9fabbaef9de65143166108cfbe2280b83c226b0e77f2fb92954e87229,10116,0,entity,unknown entity,statistical-geography:E04012994,
parish,6ba76db9fabbaef9de65143166108cfbe2280b83c226b0e77f2fb92954e87229,10117,0,entity,unknown entity,statistical-geography:E04012995,
parish,6ba76db9fabbaef9de65143166108cfbe2280b83c226b0e77f2fb92954e87229,10118,0,entity,unknown entity,statistical-geography:E04012996,
parish,6ba76db9fabbaef9de65143166108cfbe2280b83c226b0e77f2fb92954e87229,10119,0,entity,unknown entity,statistical-geography:E04012997,
parish,6ba76db9fabbaef9de65143166108cfbe2280b83c226b0e77f2fb92954e87229,10120,0,entity,unknown entity,statistical-geography:E04012998,
parish,6ba76db9fabbaef9de65143166108cfbe2280b83c226b0e77f2fb92954e87229,10121,0,entity,unknown entity,statistical-geography:E04012999,
parish,6ba76db9fabbaef9de65143166108cfbe2280b83c226b0e77f2fb92954e87229,10122,0,entity,unknown entity,statistical-geography:E04013000,
parish,6ba76db9fabbaef9de65143166108cfbe2280b83c226b0e77f2fb92954e87229,10123,0,entity,unknown entity,statistical-geography:E04013001,
parish,6ba76db9fabbaef9de65143166108cfbe2280b83c226b0e77f2fb92954e87229,10124,0,entity,unknown entity,statistical-geography:E04013002,
parish,6ba76db9fabbaef9de65143166108cfbe2280b83c226b0e77f2fb92954e87229,10125,0,entity,unknown entity,statistical-geography:E04013003,
parish,6ba76db9fabbaef9de65143166108cfbe2280b83c226b0e77f2fb92954e87229,10126,0,entity,unknown entity,statistical-geography:E04013004,
parish,6ba76db9fabbaef9de65143166108cfbe2280b83c226b0e77f2fb92954e87229,10127,0,entity,unknown entity,statistical-geography:E04013005,
parish,6ba76db9fabbaef9de65143166108cfbe2280b83c226b0e77f2fb92954e87229,10128,0,entity,unknown entity,statistical-geography:E04013006,
parish,6ba76db9fabbaef9de65143166108cfbe2280b83c226b0e77f2fb92954e87229,10129,0,entity,unknown entity,statistical-geography:E04013007,
parish,6ba76db9fabbaef9de65143166108cfbe2280b83c226b0e77f2fb92954e87229,10130,0,entity,unknown entity,statistical-geography:E04013008,
parish,6ba76db9fabbaef9de65143166108cfbe2280b83c226b0e77f2fb92954e87229,10131,0,entity,unknown entity,statistical-geography:E04013009,
